timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
72819361512,15268,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819371514,15269,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819413914,15270,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819430395,15271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819458960,15272,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819492630,15273,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819526529,15274,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819559189,15275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819581819,15276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819618050,15277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819686466,15278,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819696556,15279,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819727776,15280,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819743993,15281,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819797979,15282,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819807847,15283,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819837752,15284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819872716,15285,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819895203,15286,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819930393,15287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819961671,15288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72819996768,15289,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72820052969,15290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72820060365,15291,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72820084236,15292,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
