CONTRATO;Fecha_FI
CTO_TO_017203;3q/2015
CTO_TO_017508;4q/2015
CTO_TO_059140;1q/2016
CTO_TO_017184;2q/2016
CTO_TO_017203;2q/2016
CTO_TO_016793;3q/2016
CTO_TO_017666;3q/2016
CTO_TO_017203;3q/2016
CTO_TO_017203;2q/2017
CTO_TO_017511;3q/2017
CTO_TO_051755;1q/2018
CTO_TO_017023;3q/2018
CTO_TO_017023;2q/2019
CTO_TO_019679;1q/2011
CTO_TO_019644;3q/2011
CTO_TO_013037;3q/2011
CTO_TO_013088;3q/2011
CTO_TO_019582;4q/2011
CTO_TO_051426;1q/2012
CTO_TO_043392;2q/2012
CTO_TO_019334;1q/2015
CTO_TO_019532;3q/2015
CTO_TO_019362;3q/2015
CTO_TO_012946;3q/2015
CTO_TO_019704;1q/2017
CTO_TO_019580;2q/2017
CTO_TO_019364;2q/2017
CTO_TO_013050;1q/2018
CTO_TO_012969;3q/2018
CTO_TO_058933;4q/2018
CTO_TO_019338;4q/2019
CTO_TO_055823;1q/2011
CTO_TO_043384;3q/2011
CTO_TO_055873;4q/2011
CTO_TO_055683;2q/2012
CTO_TO_055752;3q/2013
CTO_TO_043166;1q/2015
CTO_TO_055745;2q/2015
CTO_TO_055744;2q/2015
CTO_TO_055694;3q/2015
CTO_TO_043161;3q/2015
CTO_TO_043539;4q/2015
CTO_TO_043525;2q/2016
CTO_TO_043539;2q/2016
CTO_TO_055542;3q/2016
CTO_TO_043539;3q/2016
CTO_TO_055428;2q/2017
CTO_TO_055849;2q/2017
CTO_TO_043586;2q/2017
CTO_TO_055568;3q/2018
CTO_TO_047526;1q/2015
CTO_TO_040482;4q/2016
CTO_TO_040460;4q/2016
CTO_TO_040511;2q/2017
CTO_TO_040206;3q/2017
CTO_TO_040071;2q/2018
CTO_TO_040071;3q/2018
CTO_TO_040945;1q/2011
CTO_TO_041136;1q/2012
CTO_TO_041035;1q/2012
CTO_TO_040241;4q/2014
CTO_TO_040432;1q/2015
CTO_TO_014717;1q/2015
CTO_TO_014657;1q/2016
CTO_TO_041123;2q/2016
CTO_TO_014653;2q/2016
CTO_TO_014591;4q/2016
CTO_TO_040198;1q/2017
CTO_TO_040754;2q/2017
CTO_TO_014613;2q/2017
CTO_TO_014601;4q/2017
CTO_TO_014601;1q/2018
CTO_TO_040159;1q/2018
CTO_TO_040198;2q/2018
CTO_TO_045293;1q/2012
CTO_TO_040973;3q/2016
CTO_TO_014058;4q/2016
CTO_TO_040962;3q/2017
CTO_TO_022285;3q/2018
CTO_TO_041367;1q/2011
CTO_TO_041191;1q/2011
CTO_TO_041367;2q/2011
CTO_TO_041044;1q/2012
CTO_TO_041379;3q/2016
CTO_TO_041181;3q/2016
CTO_TO_041574;4q/2016
CTO_TO_041239;1q/2018
CTO_TO_041379;3q/2018
CTO_TO_041512;3q/2018
CTO_TO_041382;4q/2019
CTO_TO_041344;4q/2019
CTO_TO_037132;4q/2011
CTO_TO_014923;1q/2015
CTO_TO_007569;1q/2015
CTO_TO_007465;2q/2015
CTO_TO_007392;3q/2015
CTO_TO_058892;2q/2016
CTO_TO_036852;1q/2018
CTO_TO_014859;3q/2018
CTO_TO_007523;3q/2019
CTO_TO_037231;4q/2014
CTO_TO_027782;1q/2015
CTO_TO_000110;1q/2015
CTO_TO_037290;2q/2015
CTO_TO_058481;3q/2016
CTO_TO_027754;1q/2017
CTO_TO_037335;2q/2017
CTO_TO_037349;3q/2017
CTO_TO_037205;1q/2018
CTO_TO_037229;2q/2018
CTO_TO_037322;2q/2018
CTO_TO_027777;3q/2018
CTO_TO_053189;2q/2019
CTO_TO_037179;3q/2019
CTO_TO_058819;2q/2011
CTO_TO_005919;4q/2011
CTO_TO_006233;4q/2014
CTO_TO_005951;1q/2015
CTO_TO_005993;4q/2016
CTO_TO_006026;3q/2017
