AÑO,Semana,Dia,Mes,Número,TPV,Tarifa,Tipo Doc.,Familia,Producto,Cantidad,Precio Coste,Precio,Dto. %,Dto. €,Impuesto %,Recargo %,Base,Total,Dto. € Ticket,Dto. % Ticket,Hora,days_since_prior_order,order_id,product_id,user_id
2023,33,3,1,72,1,0,2,0,63,1.0,0.07,0.35,0.0,0.0,10.0,1.4,0.32,0.35,0.0,0.0,15,0,72,95,897
2023,33,3,1,73,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,16,0,73,43,339
2023,33,3,1,74,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,16,0,74,43,91
2023,33,3,1,75,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,16,0,75,43,366
2023,33,3,1,75,1,0,2,2,13,1.0,0.0,0.0,0.0,0.0,10.0,1.4,0.0,0.0,0.0,0.0,16,17,75,42,366
2023,33,3,1,76,1,0,2,1,5,1.0,0.31,1.5,0.0,0.0,10.0,1.4,1.36,1.5,0.0,0.0,16,0,76,33,955
2023,33,3,1,76,1,0,2,2,124,1.0,1.39,2.95,0.0,0.0,10.0,1.4,2.68,2.95,0.0,0.0,16,0,76,161,955
2023,33,3,1,77,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,16,0,77,43,454
2023,33,3,1,77,1,0,2,0,63,1.0,0.07,0.35,0.0,0.0,10.0,1.4,0.32,0.35,0.0,0.0,16,0,77,95,454
2023,33,3,1,77,1,0,2,0,64,1.0,0.12,0.35,0.0,0.0,10.0,1.4,0.32,0.35,0.0,0.0,16,0,77,96,454
2023,33,3,1,77,1,0,2,2,69,1.0,0.42,1.0,0.0,0.0,10.0,1.4,0.91,1.0,0.0,0.0,16,17,77,101,454
2023,33,3,1,77,1,0,2,13,19,1.0,0.42,1.5,0.0,0.0,10.0,1.4,1.36,1.5,0.0,0.0,16,0,77,48,454
2023,33,3,1,78,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,16,0,78,43,427
2023,33,3,1,79,1,0,2,2,124,1.0,1.39,2.95,0.0,0.0,10.0,1.4,2.68,2.95,0.0,0.0,17,0,79,161,508
2023,33,3,1,80,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,18,0,80,43,775
2023,33,3,1,81,1,0,2,13,59,1.0,0.93,3.95,0.0,0.0,10.0,1.4,3.59,3.95,0.0,0.0,18,0,81,91,942
2023,33,3,1,81,1,0,2,13,60,1.0,1.57,3.95,0.0,0.0,10.0,1.4,3.59,3.95,0.0,0.0,18,0,81,92,942
2023,33,3,1,82,1,0,2,2,10,1.0,4.28,9.9,0.0,0.0,10.0,1.4,9.0,9.9,0.0,0.0,18,0,82,39,34
2023,33,3,1,83,1,0,2,14,137,1.0,6.43,14.85,0.0,0.0,10.0,1.4,13.5,14.85,0.0,0.0,19,1,83,178,205
2023,33,3,1,83,1,0,2,14,143,1.0,4.0,9.5,0.0,0.0,10.0,1.4,8.64,9.5,0.0,0.0,19,1,83,184,205
2023,33,3,1,83,1,0,2,10,150,1.0,1.04,2.4,0.0,0.0,10.0,1.4,2.18,2.4,0.0,0.0,19,18,83,193,205
2023,33,3,1,84,1,0,2,1,50,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,19,0,84,82,80
2023,33,3,1,85,1,0,2,2,10,1.0,4.28,9.9,0.0,0.0,10.0,1.4,9.0,9.9,0.0,0.0,19,0,85,39,931
2023,33,3,1,86,1,0,2,7,44,0.1,10.44,34.9,0.0,0.0,10.0,1.4,3.17,3.49,0.0,0.0,19,22,86,75,561
2023,33,3,1,86,1,0,2,7,139,0.1,31.05,68.0,0.0,0.0,10.0,1.4,6.18,6.8,0.0,0.0,19,0,86,180,561
2023,33,3,1,86,1,0,2,6,77,1.0,0.25,5.5,0.0,0.0,10.0,1.4,5.0,5.5,0.0,0.0,19,1,86,110,561
2023,33,3,1,87,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,19,0,87,43,871
2023,33,3,1,88,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,20,0,88,43,387
2023,33,3,1,88,1,0,2,1,5,1.0,0.31,1.5,0.0,0.0,10.0,1.4,1.36,1.5,0.0,0.0,20,0,88,33,387
2023,33,3,1,89,1,0,2,15,195,0.388,10.99,18.0,0.0,0.0,10.0,1.4,6.35,6.98,0.0,0.0,20,0,89,245,1
2023,33,3,1,89,1,0,2,7,139,0.2,31.05,68.0,0.0,0.0,10.0,1.4,12.36,13.6,0.0,0.0,20,0,89,180,1
2023,33,3,1,89,1,0,2,7,29,0.1,22.23,77.5,0.0,0.0,10.0,1.4,7.05,7.75,0.0,0.0,20,0,89,59,1
2023,33,3,1,90,1,0,2,2,10,2.0,4.28,9.9,0.0,0.0,10.0,1.4,18.0,19.8,0.0,0.0,20,0,90,39,389
2023,33,3,1,91,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,20,0,91,43,565
2023,33,3,1,92,1,0,2,1,6,1.0,1.03,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,20,0,92,34,105
2023,33,3,1,92,1,0,2,7,107,0.05,36.12,64.9,0.0,0.0,10.0,1.4,2.95,3.25,0.0,0.0,20,0,92,143,105
2023,33,3,1,93,1,0,2,2,10,1.0,4.28,9.9,0.0,0.0,10.0,1.4,9.0,9.9,0.0,0.0,21,0,93,39,771
2023,33,3,1,93,1,0,2,1,49,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,21,0,93,81,771
2023,33,3,1,94,1,0,2,2,14,2.0,1.65,4.9,0.0,0.0,10.0,1.4,8.91,9.8,0.0,0.0,21,0,94,43,821
2023,33,3,1,95,1,0,2,2,14,2.0,1.65,4.9,0.0,0.0,10.0,1.4,8.91,9.8,0.0,0.0,21,0,95,43,476
2023,33,3,1,95,1,0,2,2,69,2.0,0.42,1.0,0.0,0.0,10.0,1.4,1.82,2.0,0.0,0.0,21,0,95,101,476
2023,33,3,1,95,1,0,2,1,35,2.0,0.67,2.0,0.0,0.0,21.0,5.2,3.31,4.0,0.0,0.0,21,0,95,66,476
2023,33,3,1,96,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,21,0,96,43,702
2023,33,3,1,96,1,0,2,1,35,2.0,0.67,2.0,0.0,0.0,21.0,5.2,3.31,4.0,0.0,0.0,21,0,96,66,702
2023,33,3,1,96,1,0,2,1,133,1.0,1.03,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,21,0,96,172,702
2023,33,3,1,97,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,21,0,97,43,401
2023,33,3,1,97,1,0,2,2,69,1.0,0.42,1.0,0.0,0.0,10.0,1.4,0.91,1.0,0.0,0.0,21,0,97,101,401
2023,33,3,1,98,1,0,2,7,89,0.1,52.78,120.0,0.0,0.0,10.0,1.4,10.91,12.0,0.0,0.0,21,24,98,123,729
2023,33,4,1,99,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,9,1,99,43,555
2023,33,4,1,100,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,9,0,100,43,161
2023,33,4,1,100,1,0,2,13,59,1.0,0.93,3.95,0.0,0.0,10.0,1.4,3.59,3.95,0.0,0.0,9,1,100,91,161
2023,33,4,1,101,1,0,2,1,49,3.0,0.83,2.0,0.0,0.0,21.0,5.2,4.96,6.0,0.0,0.0,10,1,101,81,201
2023,33,4,1,102,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,10,0,102,43,957
2023,33,4,1,103,1,0,2,2,14,2.0,1.65,4.9,0.0,0.0,10.0,1.4,8.91,9.8,0.0,0.0,10,0,103,43,995
2023,33,4,1,103,1,0,2,2,69,2.0,0.42,1.0,0.0,0.0,10.0,1.4,1.82,2.0,0.0,0.0,10,1,103,101,995
2023,33,4,1,104,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,11,0,104,43,269
2023,33,4,1,105,1,0,2,7,107,0.15,36.12,64.9,0.0,0.0,10.0,1.4,8.85,9.74,0.0,0.0,11,1,105,143,862
2023,33,4,1,105,1,0,2,7,142,0.2,20.44,59.9,0.0,0.0,10.0,1.4,10.89,11.98,0.0,0.0,11,23,105,183,862
2023,33,4,1,106,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,11,0,106,43,815
2023,33,4,1,106,1,0,2,2,69,1.0,0.42,1.0,0.0,0.0,10.0,1.4,0.91,1.0,0.0,0.0,11,0,106,101,815
2023,33,4,1,106,1,0,2,0,64,1.0,0.12,0.35,0.0,0.0,10.0,1.4,0.32,0.35,0.0,0.0,11,1,106,96,815
2023,33,4,1,106,1,0,2,1,49,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,11,0,106,81,815
2023,33,4,1,106,1,0,2,13,194,1.0,0.55,1.5,0.0,0.0,21.0,5.2,1.24,1.5,0.0,0.0,11,18,106,244,815
2023,33,4,1,107,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,11,0,107,43,270
2023,33,4,1,107,1,0,2,6,77,1.0,0.25,5.5,0.0,0.0,10.0,1.4,5.0,5.5,0.0,0.0,11,1,107,110,270
