image_type,image_number,patience_validation,patience_plateau,delta_min,batch_size,split_size,max_loss_reset,learning_rate,weight_decay,first_conv_outchann,second_conv_outchann,fclayer1,fclayer2,criterion_type,optimizer,verbosity,accuracy,precision,recall,f1,average_loss,combined_score,rank
T88_111,1,0,1,0.1,40,0.8,1,0.001,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.6249999999999996,0.5844155844155845,0.4444444444444444,0.5905707196029779,0.9860823058897998,0.6233429809339673,12.5
T88_111,1,0,1,0.1,40,0.8,1,0.001,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.375,0.7714285714285716,0.0,0.0,0.5114959081183243,0.379823421943657,23.0
T88_111,1,0,1,0.1,40,0.8,1,0.001,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.8749999999999996,0.47368421052631593,1.0,1.0,0.8814617676518377,0.8687643492217542,6.0
T88_111,1,0,1,0.1,40,0.8,1,0.0009,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.8749999999999996,0.9999999999999998,0.4444444444444444,0.7311827956989247,0.8650099400925533,0.8748616412813115,5.0
T88_111,1,0,1,0.1,40,0.8,1,0.0009,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.6249999999999996,0.33834586466165417,0.8888888888888888,0.838709677419355,0.5399572025901898,0.6214735980905506,18.0
T88_111,1,0,1,0.1,40,0.8,1,0.0009,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.6249999999999996,0.4945054945054945,0.5555555555555555,0.6658986175115209,0.8250820725439243,0.6223874851527154,15.0
T88_111,1,0,1,0.1,40,0.8,1,0.0012,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.375,0.2268907563025211,0.6666666666666665,0.6169354838709677,0.2833288291581937,0.3740031545376743,27.0
T88_111,1,0,1,0.1,40,0.8,1,0.0012,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.25,0.12857142857142878,0.7777777777777777,0.6267281105990783,0.78817960260705,0.25071628534780444,28.5
T88_111,1,0,1,0.1,40,0.8,1,0.0012,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.25,0.1607142857142858,0.5555555555555555,0.49531737773152984,0.7464954518721485,0.25008828635665203,31.5
T88_111,1,0,1,0.1,40,0.8,1,0.0015,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.6249999999999996,0.5844155844155845,0.4444444444444444,0.5905707196029779,0.6930875920412813,0.6233429809339673,12.5
T88_111,1,0,1,0.1,40,0.8,1,0.0015,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.25,0.1607142857142858,0.5555555555555555,0.49531737773152984,0.8567549443579834,0.25008828635665203,31.5
T88_111,1,0,1,0.1,40,0.8,1,0.0015,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.25,0.12857142857142878,0.7777777777777777,0.6267281105990783,0.5083186125109742,0.25071628534780444,28.5
T88_111,1,0,1,0.1,50,0.8,1,0.001,0.008,12,20,180,30,BCElogitsloss,Adam,1,1.0,0.7346938775510206,0.7777777777777777,0.9833147942157954,0.861651250392917,0.9942580123768316,2.5
T88_111,1,0,1,0.1,50,0.8,1,0.001,0.01,12,20,180,30,BCElogitsloss,Adam,1,0.25,0.2142857142857144,0.33333333333333326,0.32497013142174414,0.596220201752381,0.24982870507140817,33.5
T88_111,1,0,1,0.1,50,0.8,1,0.001,0.02,12,20,180,30,BCElogitsloss,Adam,1,0.6249999999999996,0.4285714285714286,0.6666666666666665,0.7311827956989247,0.9456969957558292,0.621844204986466,17.0
T88_111,1,0,1,0.1,50,0.8,1,0.0009,0.008,12,20,180,30,BCElogitsloss,Adam,1,0.25,0.14285714285714302,0.6666666666666665,0.5650048875855329,0.6415729122573031,0.25037158437673585,30.0
