number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
26,0.004532587714493275,40,0.1,180,30,10,0.00038297451096671817,3,20,0.75,0.014860132769689416,COMPLETE
27,0.008889713572959106,30,0,120,60,8,6.450531798757012e-05,1,20,0.75,0.025585053903096015,COMPLETE
28,0.021527071855962275,20,0,150,90,6,0.0007261393496841584,5,24,0.7,0.0321316738811357,COMPLETE
29,0.06967261731624604,30,0,120,90,8,0.0004784473891669218,5,20,0.75,0.02205038730268536,COMPLETE
30,0.0052801273763179776,40,0,120,30,10,0.00032702308430805545,3,24,0.75,0.01605584260890944,COMPLETE
31,0.0032944029895588755,20,0,120,90,8,0.0009530284661341023,1,16,0.75,0.01163667998631534,COMPLETE
32,0.0030538854887709023,20,0,120,60,8,0.0007810143269898807,1,16,0.75,0.01301976201483622,COMPLETE
33,0.0025048559143518406,30,0,120,120,8,0.0007803101584432763,1,20,0.7999999999999999,0.017038941769150294,COMPLETE
34,0.001264143087125073,30,0.1,120,60,6,0.0009688397695912577,1,24,0.75,0.018571601895624165,COMPLETE
35,0.005503956538935502,30,0.1,150,60,6,0.0005571132099304972,3,24,0.75,0.019355374879299357,COMPLETE
36,0.0017119480529800058,30,0.1,120,0,6,0.0009600054721011607,1,24,0.75,0.014549889159110738,COMPLETE
37,0.0005030435422668234,40,0.1,120,0,6,0.0009727535493498357,1,24,0.75,0.018393976533656358,COMPLETE
38,0.0006263687959290109,40,0.1,120,0,6,0.0009631050040832064,1,24,0.75,0.01758160000273184,COMPLETE
39,0.00046216003596782684,50,0.1,120,0,6,0.0009368569056340219,1,24,0.75,0.018233313151975218,COMPLETE
40,0.040658406019210815,50,0.1,120,0,6,1.517579727463471e-05,9,24,0.7,0.01792538884783407,COMPLETE
41,0.002113902564160526,50,0.1,120,0,6,0.000978212692365641,1,24,0.75,0.021250978432288504,COMPLETE
42,0.001746303285472095,40,0.1,120,0,6,0.0009631658961563602,1,24,0.75,0.023563535553775307,COMPLETE
43,0.0006562905246391892,50,0.1,120,0,6,0.0005625057616218791,1,24,0.75,0.01813985128697488,COMPLETE
44,0.15781023740768432,50,0.1,120,0,6,1.1329722583492723e-05,1,24,0.75,0.018519872803876642,COMPLETE
45,0.00033231071836780756,50,0.1,150,0,6,0.000520292536423093,1,24,0.75,0.02916039038097641,COMPLETE
46,0.01142921194434166,50,0.1,150,0,6,0.0002787403772007428,1,24,0.75,0.04187721865171251,COMPLETE
47,0.014985944032669068,50,0.1,150,30,6,0.00048667232020873486,7,24,0.75,0.02825050532514386,COMPLETE
48,0.0008209088817238807,50,0.1,150,0,6,0.00017951907406234006,1,24,0.75,0.023912276340406918,COMPLETE
49,0.0028335931710898876,40,0.1,120,0,6,0.0005891170292303178,1,24,0.7,0.037178834951395234,COMPLETE
50,0.0008498728554695845,50,0.1,150,30,6,0.00042997744817768513,1,24,0.75,0.05293879564277139,COMPLETE
51,0.05555730938911438,50,0.1,150,0,6,0.00019781209025519298,1,24,0.75,0.02379244666127375,COMPLETE
52,0.010952458269894123,50,0.1,150,0,6,0.000779882890118254,1,24,0.75,0.031145776575340206,COMPLETE
53,0.05567514419555664,50,0.1,150,0,6,0.00015323722252165138,1,24,0.75,0.019800731475117607,COMPLETE
54,0.0028583135921508075,40,0.1,120,0,6,0.0002232273645899837,1,24,0.75,0.016842791016841933,COMPLETE
55,0.06588862776756287,50,0.1,150,30,12,2.8090203289643966e-05,1,24,0.75,0.023679619464996846,COMPLETE
