invalid_key,image_type,image_number,patience_validation,patience_plateau,delta_min,batch_size,split_size,max_loss_reset,learning_rate,weight_decay,first_conv_outchann,second_conv_outchann,fclayer1,fclayer2,criterion_type,optimizer,verbosity,plot,accuracy,precision,recall,f1,average_loss,combined_score,rank
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,5e-05,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.9668736176917359,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,5e-05,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,1.0,0.8461538461538463,0.9943437627867178,0.27535860618067237,46.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,5e-05,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,1.0,0.8461538461538463,0.865098397607686,0.27535860618067237,46.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,8e-05,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.909090909090909,0.857142857142857,0.9333333333333333,0.9871794871794873,0.9943939071787866,0.9088792578655909,4.0
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,8e-05,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.5454545454545454,0.8181818181818181,0.4666666666666667,0.6834319526627219,0.9900812440421976,0.5466262298607583,29.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,8e-05,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,1.0,0.8461538461538463,0.9937362133775449,0.27535860618067237,46.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,8e-05,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,0.8181818181818179,0.9183673469387754,0.6666666666666666,0.8753315649867376,0.9963901171755908,0.8184592460401365,6.0
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,8e-05,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.8455836873951207,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,8e-05,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.0,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,0.0001,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.6363636363636362,0.826530612244898,0.6,0.7877984084880638,1.0,0.6372038093515727,26.0
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,0.0001,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.8181818181818179,0.9183673469387754,0.6666666666666666,0.8753315649867376,0.9953906200609935,0.8184592460401365,6.0
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,0.0001,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.9946710130555929,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,0.0001,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,1.0,0.8461538461538463,0.989904404382296,0.27535860618067237,46.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,0.0001,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.8181818181818179,0.8181818181818181,0.9333333333333333,0.9604989604989607,0.9915487376170453,0.8183255424308896,13.0
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,0.0001,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,0.8666666666666667,0.804878048780488,0.9768063371250526,0.2751921886291155,51.0
idk,FSL_SEG,1,1,0,0.1,50,0.8,1,1e-05,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.09090909090909105,0.5142857142857142,0.26666666666666666,0.4061538461538462,0.9790334860814375,0.093100017539792,71.0
idk,FSL_SEG,1,1,0,0.1,50,0.8,1,1e-05,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.7272727272727271,0.8319327731092436,0.7333333333333333,0.872596153846154,0.9908787644200635,0.727767667115553,17.5
idk,FSL_SEG,1,1,0,0.1,50,0.8,1,1e-05,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.09090909090909105,0.5357142857142857,0.3333333333333333,0.47008547008547014,0.9834029509438761,0.09328301376238086,70.0
