number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
80,0.01874307480175048,10,0.1,150,150,10,0.0006256151572733184,1,0. 3,1,20,0.75,0.0130438999623238,COMPLETE
81,0.001870210631750524,40,0,120,120,12,0.00040306374266413635,3,0. 3,1,20,0.75,0.013926000640091623,COMPLETE
82,0.026527203215907017,30,0,120,90,12,7.666556645902269e-05,3,0. 3,1,20,0.75,0.0224587851397015,COMPLETE
83,0.002153871627524495,40,0,120,90,12,0.0003637638679167615,3,0. 3,1,20,0.75,0.018637202017051553,COMPLETE
84,0.0023808473721146583,40,0,120,120,12,0.0002157199873684569,3,0. 3,1,20,0.75,0.012171605188670886,COMPLETE
85,0.0036252759862691166,40,0,120,60,12,0.00031186968625798777,5,0. 3,1,20,0.75,0.017076999252486628,COMPLETE
86,0.0016917448490858078,40,0,210,30,12,0.0002637587387594755,1,0. 3,1,20,0.75,0.014286893140845927,COMPLETE
87,0.006685923350354036,30,0,120,90,12,0.0005938743922685726,3,0. 3,1,20,0.75,0.015205888687572328,COMPLETE
88,0.010989917516708374,50,0,120,60,12,0.00042346777549384857,5,1,1,24,0.75,0.0136137993884064,COMPLETE
89,0.0018264478771016003,40,0,120,90,12,0.000760053543084242,3,0. 3,2,20,0.7999999999999999,0.011574131112925698,COMPLETE
90,0.004907158715650439,40,0.1,180,120,12,0.0005069530171842796,5,0. 3,1,20,0.75,0.029753401757328497,COMPLETE
91,0.06916866004467011,40,0,120,90,12,0.0003498700595395233,5,0. 3,1,20,0.75,0.0183710119516371,COMPLETE
92,0.001603390881791711,40,0,120,90,12,0.00033330125175522944,5,0. 3,1,20,0.75,0.017682743181391108,COMPLETE
93,0.0026691317558288573,40,0,120,90,12,0.0002391752011180089,5,0. 3,1,20,0.75,0.012517736203366589,COMPLETE
94,0.0017706804675981403,40,0,120,90,12,0.00029793228006390126,5,0. 3,1,20,0.75,0.016018741631388195,COMPLETE
95,0.002063214546069503,40,0,120,60,8,0.0004153510069515421,9,0. 3,1,20,0.75,0.020338299528374668,COMPLETE
96,0.06925256848335266,40,0,120,90,12,0.0005367096537757019,5,0. 3,1,20,0.75,0.013123793039144729,COMPLETE
97,0.004365178570151329,40,0,120,90,12,0.00010540638313409228,7,0. 3,1,20,0.75,0.010722302452857829,COMPLETE
98,0.05142470479011536,50,0,120,90,12,1.079024100216017e-05,5,0. 3,1,20,0.75,0.021875591902296834,COMPLETE
99,0.002435507345944643,40,0,120,60,6,9.453501840053277e-05,1,0. 3,1,20,0.75,0.037594392020609706,COMPLETE
100,0.03667154729366302,50,0.1,180,0,12,0.00047030970980059165,5,0. 3,1,20,0.75,0.01762826664717134,COMPLETE
101,0.001976286806166172,40,0,120,90,12,0.0003266170608738545,5,0. 3,1,20,0.75,0.018011284183871327,COMPLETE
102,0.0018336903071030975,40,0,120,90,12,0.0003695471739475431,5,0. 3,1,20,0.75,0.01948467155924526,COMPLETE
