number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
19,0.0012011075741611421,20,0.1,150,150,10,0.00013159515196703585,1,1,2,20,0.75,0.04355863730270999,COMPLETE
20,0.0189743647351861,20,0.1,180,120,10,4.253726952259454e-05,1,0. 3,3,20,0.75,0.046208101861981064,COMPLETE
21,0.010538177844136954,20,0.1,150,150,10,0.0001340645616996388,1,1,2,20,0.75,0.04269254883210988,COMPLETE
22,0.0018620979390107095,20,0.1,150,150,12,0.00038660350096775015,3,1,2,20,0.75,0.06096873456882597,COMPLETE
23,0.005857468545436859,50,0.1,150,120,10,4.9579133488868106e-05,1,1,3,20,0.75,0.028046753803143087,COMPLETE
24,0.003318095440044999,40,0.1,120,150,8,0.00013535752563377133,3,1,2,24,0.7999999999999999,0.012442194256279389,COMPLETE
25,0.011438060800234478,30,0.1,150,90,10,2.17335620699301e-05,1,1,1,16,0.7,0.01991725303541716,COMPLETE
26,0.010630627969900767,30,0,180,60,8,0.0005428544163420243,7,1,3,24,0.7999999999999999,0.05815979547549112,COMPLETE
27,0.041061387062072754,50,0.1,150,120,6,0.0009710739464945803,3,1,0,20,0.75,0.0977603952327985,COMPLETE
28,0.0012368028401397169,20,0,120,150,12,0.00030173402950565417,1,0. 3,2,24,0.7999999999999999,0.018925384238457955,COMPLETE
29,0.005547960102558136,20,0.1,120,90,12,0.00025285170029017075,5,0. 3,2,20,0.7,0.01540316625291496,COMPLETE
30,0.010760319884866476,20,0.1,120,60,12,0.0001614622079349708,1,0. 3,2,24,0.75,0.07495200612455655,COMPLETE
31,0.028143670037388803,10,0,150,150,12,0.000343940425207161,1,0. 3,1,24,0.7999999999999999,0.019059179105893772,COMPLETE
32,0.0009513619996141642,20,0,120,150,10,0.000609705825813305,3,0. 3,2,24,0.7999999999999999,0.02676372899232795,COMPLETE
33,0.00098006778061972,20,0,120,150,10,0.0006480496751832476,1,0. 3,2,24,0.7999999999999999,0.0282970505653406,COMPLETE
34,0.001173322374233976,20,0,120,150,10,0.0006669134542851232,1,0. 3,2,24,0.7999999999999999,0.028231694806016974,COMPLETE
35,0.005697359703481198,10,0,120,150,10,0.0006435113875214454,1,0. 3,2,24,0.7999999999999999,0.02964686310329448,COMPLETE
36,0.0008780517848208547,20,0,120,120,10,0.0004520834651904721,1,0. 3,2,24,0.7999999999999999,0.03477750842937089,COMPLETE
37,0.04176147524267435,10,0,120,120,10,0.0004872288691871099,3,0. 3,2,24,0.7999999999999999,0.02687984346528216,COMPLETE
38,0.003634925163350999,20,0,120,120,10,0.0007146119617314487,1,0. 3,2,24,0.7999999999999999,0.03517029974604737,COMPLETE
39,0.003453033231198788,10,0,120,150,10,0.0003979553596828576,1,0. 3,2,24,0.7999999999999999,0.024838504071845638,COMPLETE
40,0.018660245183855294,20,0,120,120,10,0.0005752570136596036,3,0. 3,2,24,0.7999999999999999,0.03915641946061921,COMPLETE
41,0.004045966814737767,20,0,120,150,10,0.0004476732294801692,1,0. 3,2,24,0.7999999999999999,0.03305557595139376,COMPLETE
42,0.1401411324739456,20,0,120,150,10,6.315985058359916e-05,1,0. 3,2,24,0.7999999999999999,0.03024800910106414,COMPLETE
43,0.002037130994722247,20,0,120,150,10,0.0007783616734322071,1,0. 3,2,20,0.75,0.05111518339161381,COMPLETE
44,0.0004326115478761494,30,0,120,120,10,0.0005953676503106072,1,0. 3,2,24,0.7999999999999999,0.03781062389505416,COMPLETE
45,0.0008744200381139914,30,0,120,120,10,0.0007031898375822639,1,0. 3,2,24,0.7999999999999999,0.02602572053642267,COMPLETE
46,0.006748868028322855,30,0,120,120,8,0.00048121607960557123,3,0. 3,3,24,0.7999999999999999,0.037844955817402944,COMPLETE
47,0.00458505762120088,30,0,120,120,10,0.0007757042432541763,5,0. 3,1,24,0.7999999999999999,0.031879098199618094,COMPLETE
48,0.00021025907093038162,30,0,210,90,10,0.0005292831889840675,1,0. 3,2,24,0.7999999999999999,0.02523165136279425,COMPLETE
49,0.006966065615415573,30,0,210,90,10,0.00020011626830088852,3,0. 3,2,24,0.7999999999999999,0.02372020613648614,COMPLETE
50,0.0003806481137871742,30,0,210,90,12,0.0002581576242153049,1,0. 3,1,24,0.7999999999999999,0.025820715316683028,COMPLETE
51,0.0004096231966589888,30,0,210,90,12,0.00039892594064357676,1,0. 3,1,24,0.7999999999999999,0.025721702235089416,COMPLETE
52,0.005636529872814814,30,0,210,90,12,0.0002797731726770075,1,0. 3,1,24,0.7999999999999999,0.022658118472596297,COMPLETE
53,0.00026946741078669824,30,0,210,90,12,0.00037613240694398637,1,0. 3,1,24,0.7999999999999999,0.035060494291234576,COMPLETE
54,0.0007465195609256625,30,0,210,90,12,0.0003716419902799687,1,0. 3,1,24,0.7999999999999999,0.04101078592354002,COMPLETE
55,0.006945776877303919,30,0,210,90,12,0.0003605895230028823,1,0. 3,1,24,0.7999999999999999,0.053316189404954174,COMPLETE
56,0.001106783173357447,30,0,210,90,12,0.0002369194510693338,1,0. 3,1,24,0.7999999999999999,0.0410520994975648,COMPLETE
57,0.0008992091209317247,30,0,210,90,12,0.00019145010026132153,1,0. 3,1,24,0.7999999999999999,0.036310024640444895,COMPLETE
58,0.006288874521851539,30,0,210,60,12,0.00029343504271217905,1,0. 3,0,24,0.7999999999999999,0.03145817063980766,COMPLETE
59,0.0006598637090064585,40,0,210,90,12,0.0004090319592304932,1,0. 3,1,24,0.7999999999999999,0.04902921476459821,COMPLETE
60,0.036117155104875565,40,0,210,30,12,0.0004122078904544196,3,0. 3,1,24,0.7999999999999999,0.07124726560247584,COMPLETE
61,0.00163504327647388,30,0,210,90,12,0.0005477628104361912,1,0. 3,1,24,0.7999999999999999,0.04685938881398272,COMPLETE
62,0.012551371846348048,40,0,210,90,12,0.00033106328176652286,1,0. 3,1,24,0.7999999999999999,0.03933764413323758,COMPLETE
63,0.0005257740306357543,30,0,210,90,12,9.856698086916235e-05,1,0. 3,1,24,0.7999999999999999,0.051756429567299124,COMPLETE
64,0.0063752224668860435,40,0,210,90,12,7.272003300838787e-05,1,0. 3,1,24,0.7999999999999999,0.052645145513005344,COMPLETE
65,0.0012235580012202262,30,0,180,60,12,8.217479585649788e-05,1,0. 3,1,24,0.7999999999999999,0.05741543811112431,COMPLETE
66,0.00095136525730292,30,0,210,90,12,0.0001808371837870849,1,0. 3,0,16,0.7999999999999999,0.04397422428066156,COMPLETE
67,0.0404588058590889,40,0,210,60,12,9.129256898656267e-05,9,0. 3,1,24,0.7999999999999999,0.0707852449446225,COMPLETE
68,0.0003597395805021127,30,0,180,90,12,0.00010120015965942874,1,0. 3,1,24,0.7999999999999999,0.02207891627563715,COMPLETE
69,0.018956098333001138,30,0,180,90,12,0.0001087559610460242,3,0. 3,1,24,0.7999999999999999,0.02090958302001781,COMPLETE
70,0.034499719242254895,30,0,180,60,12,0.00012072247401189298,7,0. 3,1,24,0.7999999999999999,0.017140096443811134,COMPLETE
71,0.004786907384792964,30,0,210,90,12,2.4854431231019883e-05,1,0. 3,1,24,0.7999999999999999,0.023183672706392603,COMPLETE
72,0.0010188383205483357,30,0,210,90,12,0.00016208702992936194,1,0. 3,1,24,0.7999999999999999,0.02591353451567767,COMPLETE
73,0.00016007898181366424,30,0,210,90,12,5.937337143619302e-05,1,0. 3,1,24,0.7999999999999999,0.018269927534661837,COMPLETE
74,0.008829509342710177,30,0,180,90,12,5.372134066650051e-05,1,0. 3,1,24,0.7999999999999999,0.019193475828470738,COMPLETE
75,0.0057745526855190596,30,0,210,60,12,2.9188072296030388e-05,1,0. 3,1,24,0.7999999999999999,0.01629936308222206,COMPLETE
76,0.0020599926511446634,30,0,210,90,12,7.200445440140813e-05,1,0. 3,0,24,0.7999999999999999,0.017869420352692365,COMPLETE
77,0.007765533526738485,30,0,210,90,12,1.4631589500233224e-05,1,0. 3,1,24,0.7999999999999999,0.02190764281324803,COMPLETE
78,0.010155471911032995,30,0,210,120,12,3.8389772650974676e-05,1,0. 3,1,24,0.7999999999999999,0.024557851823251486,COMPLETE
79,0.013329287618398666,30,0,180,90,8,9.680827959860279e-05,1,0. 3,1,24,0.75,0.020050446131123778,COMPLETE
80,0.0006427836682026585,30,0,210,60,12,6.381240188739479e-05,3,0. 3,1,24,0.7999999999999999,0.02964598383327408,COMPLETE
81,0.02093051572640737,30,0,210,60,12,6.612008800793136e-05,3,0. 3,1,24,0.7999999999999999,0.03359171246086796,COMPLETE
82,0.0004807452904060483,30,0,210,60,12,5.4101634988650456e-05,1,0. 3,1,24,0.7999999999999999,0.029113697074824925,COMPLETE
83,0.004712469782680273,30,0,210,90,12,5.3316967500443234e-05,1,0. 3,1,24,0.7999999999999999,0.027293669906855025,COMPLETE
84,0.010476431188484034,30,0,210,0,12,0.0005495427201733567,1,0. 3,1,24,0.7999999999999999,0.025299913952355715,COMPLETE
85,0.008766504252950351,30,0,210,90,12,3.534493703809116e-05,1,0. 3,1,24,0.7999999999999999,0.030897759729758955,COMPLETE
86,0.0004472477536182851,30,0,210,30,12,0.0008388860663926117,1,0. 3,1,24,0.7999999999999999,0.02247548311549034,COMPLETE
