number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
65,0.006528134737163782,40,0,150,60,10,0.0003935630784538496,1,1,1,16,0.7999999999999999,0.017002533564397657,COMPLETE
66,0.0010904760798439383,40,0,180,30,6,0.00099810511817343,1,1,2,16,0.75,0.013873697023264702,COMPLETE
67,0.0002956507611088455,30,0,180,90,10,0.00047882195085100887,1,1,2,16,0.7999999999999999,0.01043453041915103,COMPLETE
68,0.0009302099933847785,30,0,210,90,10,0.0001898292997201272,1,1,1,16,0.7999999999999999,0.028652069919082944,COMPLETE
69,0.005445877090096474,20,0,180,120,6,0.00032922795051829664,1,1,2,16,0.75,0.010418553576432234,COMPLETE
70,0.00022134571336209773,30,0,150,90,12,0.0005294201682014888,1,1,2,24,0.7999999999999999,0.016154785576339373,COMPLETE
71,0.0019835025692979493,30,0,150,90,12,0.0005449635200621174,1,1,2,24,0.7999999999999999,0.01591109635784832,COMPLETE
72,0.0031614835374057294,30,0,150,90,6,0.0003928984539374084,1,1,2,24,0.7999999999999999,0.01279947768143218,COMPLETE
73,0.0002494205216256281,30,0,120,90,10,0.0001553203757309783,1,1,2,24,0.7999999999999999,0.021092964620945873,COMPLETE
74,0.002851444917420546,30,0,120,90,12,0.00015210022057014007,1,1,2,24,0.7999999999999999,0.020268443148167142,COMPLETE
75,0.003182079115261634,30,0,120,90,12,0.00013965552634245663,1,1,2,24,0.7999999999999999,0.024077371326353826,COMPLETE
76,0.0009596938034519553,20,0,120,120,10,0.00010039430491200626,1,1,2,24,0.7999999999999999,0.021720428655264978,COMPLETE
77,0.0020254603897531826,30,0.1,150,90,12,0.0002542108142657684,3,1,1,24,0.7999999999999999,0.010018233858734878,COMPLETE
78,0.004850982315838337,30,0,120,90,10,8.64958005808019e-05,1,1,2,24,0.7,0.01388365272552818,COMPLETE
79,0.052884508371353146,50,0,150,90,10,0.00021643084122971668,7,1,2,24,0.75,0.028058935970835686,COMPLETE
80,0.0001509766346619775,30,0,210,90,10,0.0003045799714611104,1,1,2,24,0.7999999999999999,0.01231960856237662,COMPLETE
81,0.0003266640201521417,30,0,210,90,10,0.00028854935244085686,1,1,2,24,0.7999999999999999,0.01078250485887666,COMPLETE
82,0.00017351024240876237,30,0,210,90,10,0.00016659310109820184,1,1,2,24,0.7999999999999999,0.012255950269868228,COMPLETE
83,0.003988849992553393,30,0,210,120,10,0.00019844761477422725,1,1,2,24,0.7999999999999999,0.01240867678772262,COMPLETE
84,0.00029755056214829286,30,0,210,90,10,0.0001522222972021099,1,1,2,24,0.7999999999999999,0.01922332582263385,COMPLETE
85,0.0002904105543469389,30,0,210,90,8,0.00030333006099229025,1,1,2,24,0.7999999999999999,0.017204626427758562,COMPLETE
86,0.001989427674561739,30,0,210,0,10,0.00012607079989657768,1,1,2,24,0.7999999999999999,0.015689545801930643,COMPLETE
87,0.001253178771585226,50,0,210,120,8,0.0002475773087120097,1,1,2,24,0.7999999999999999,0.012969738335450169,COMPLETE
88,0.0007266439963132143,20,0,210,0,10,0.00017741818401492194,1,1,1,24,0.7999999999999999,0.013875306208022775,COMPLETE
89,0.000324710423592478,40,0.1,210,90,12,0.0003567108776803079,1,1,2,24,0.7999999999999999,0.021336255474699917,COMPLETE
90,0.00027794170697840553,30,0,210,0,10,0.0004352867319016158,1,1,2,24,0.75,0.023080006041963398,COMPLETE
91,0.0035996429001291593,30,0,210,0,10,0.0004281185453007218,1,1,2,24,0.75,0.022827910823485675,COMPLETE
92,0.010272391388813655,30,0,210,0,10,0.00016220166797896367,1,1,2,24,0.75,0.025419563435554255,COMPLETE
93,0.000699446532720079,30,0,210,0,10,0.0007355778653330848,1,1,2,24,0.75,0.026529382500565447,COMPLETE
94,0.00043532722750872687,30,0,210,0,10,0.0003812535288304323,1,1,2,24,0.75,0.030352168378905718,COMPLETE
95,0.0002650740110160162,30,0,210,0,10,0.000522653825552599,1,1,2,24,0.75,0.024196582760789117,COMPLETE
96,0.00441298708319664,30,0,210,90,10,0.0005164635268195081,5,1,2,24,0.7999999999999999,0.01153299580771161,COMPLETE
97,0.0004030726937344298,40,0,210,60,8,0.0005876971864323105,1,1,2,24,0.7999999999999999,0.020688585461126723,COMPLETE
98,0.000622343613455693,30,0,210,0,10,0.00011118036960167404,1,0. 3,2,24,0.7999999999999999,0.024443902460391666,COMPLETE
99,0.0011699722963385284,20,0,120,90,12,0.0006610894248649928,3,1,1,20,0.75,0.03230443951239702,COMPLETE
100,0.00040207288693636654,40,0,210,0,10,0.00020254601496409627,1,1,2,24,0.7999999999999999,0.017709894822393584,COMPLETE
101,0.0002953699198163425,30,0,210,0,10,0.00044382901169366385,1,1,2,24,0.75,0.012135428563070568,COMPLETE
102,0.0003486427808942002,30,0,210,0,10,0.00033704789759356993,1,1,2,24,0.75,0.02240740399126829,COMPLETE
103,0.0016305756599952778,30,0,210,0,10,0.0008729914581278456,1,1,2,24,0.75,0.027633431204801506,COMPLETE
104,0.0002699837825881938,30,0,210,0,10,0.0005466271244396094,1,1,2,24,0.75,0.01900005958656374,COMPLETE
105,0.0013621540274471045,30,0,210,0,10,0.0005265246760529526,1,1,2,24,0.75,0.015494803814646432,COMPLETE
106,0.0008449324096242587,30,0,210,0,10,0.0007790766588080966,1,1,0,24,0.75,0.019291636217128646,COMPLETE
107,0.0013915666534254948,30,0.1,210,90,8,0.0005741869699060337,1,1,2,24,0.7999999999999999,0.018977721839398592,COMPLETE
108,0.00022528189583681524,40,0,210,60,10,0.0006876984041799285,1,1,2,24,0.7999999999999999,0.01758113932818449,COMPLETE
109,0.002057635189521534,40,0,210,60,12,0.0007116483454226326,1,1,2,24,0.7999999999999999,0.013386535039699976,COMPLETE
110,0.0018877618946135043,40,0,150,60,10,0.0006258931097210895,1,0. 3,2,24,0.7999999999999999,0.014761554769122026,COMPLETE
111,0.0006219441595021636,40,0,210,60,10,0.0004852072684825163,1,1,2,24,0.7999999999999999,0.01670645617116919,COMPLETE
112,0.0055256042629480365,40,0,210,30,10,0.000230113241115701,1,1,2,24,0.7999999999999999,0.017978413259916077,COMPLETE
113,0.000990422194202741,30,0,210,90,10,0.0005498553443709066,1,1,2,24,0.7999999999999999,0.02011228965466306,COMPLETE
