url,reviewDate,textualRating,languageCode,publisher.name,publisher.site,title,text,claimant,claimDate
https://maldita.es/malditobulo/2020/08/18/pedro-sanchez-playa-sin-mascarilla/,,Falso,es,Maldita.es,maldita.es,"No, esta foto de Pedro Sánchez en la playa acompañado de varias personas y sin mascarilla no es actual: es una imagen de 2016",Pedro Sánchez en la playa sin mascarilla durante la pandemia de coronavirus,Redes sociales,2020-08-31T00:00:00Z
https://colombiacheck.com/chequeos/no-se-ha-anunciado-que-venezuela-sera-el-primer-pais-occidental-en-recibir-la-vacuna-rusa,2020-08-18T20:30:48Z,Falso,es,ColombiaCheck,colombiacheck.com,No se ha anunciado que Venezuela será el ‘primer país occidental en recibir la vacuna rusa contra el COVID-19’,Venezuela será primer país occidental tener vacuna rusa contra coronavirus,,
https://maldita.es/malditobulo/2020/08/17/pedro-sanchez-playa-leyendo-libro-vacaciones/,,Falso,es,Maldita.es,maldita.es,"No, esta foto de Pedro Sánchez en la playa leyendo un libro no se ha tomado durante sus vacaciones en 2020: es una foto antigua que ahora se comparte como actual",Sánchez leyendo en la tumbona en Lanzarote durante la crisis del coronavirus.,Redes sociales,2020-08-31T00:00:00Z
https://maldita.es/malditobulo/2020/08/13/ha-escapado-inmigrante-coronavirus-centro-internamiento-extranjeros-el-matorral-fuerteventura/,,Falso,es,Maldita.es,maldita.es,"No, no se ha escapado un inmigrante con coronavirus  del Centro de Internamiento de Extranjeros de El Matorral (Fuerteventura)",Se ha escapado un inmigrante con coronavirus de El Matorral,Redes sociales,2020-07-22T00:00:00Z
https://colombiacheck.com/chequeos/rusia-si-anuncio-el-registro-de-vacuna-contra-covid-19-pero-aun-quedan-muchas-dudas-sobre,2020-08-13T01:06:12Z,Verdadero pero...,es,ColombiaCheck,colombiacheck.com,"Rusia sí anunció el registro de vacuna contra COVID-19, pero aún quedan muchas dudas sobre su efectividad",Rusia anunció vacuna contra coronavirus,,
https://maldita.es/malditobulo/2020/08/11/marcos-vargas-fallecio-hospital-muniz-buenos-aires-jordi/,,Falso,es,Maldita.es,maldita.es,"No, no es un médico llamado Marcos Vargas que ""falleció después de hacer horas extras en el Hospital Muñiz de Buenos Aires"": es el actor porno Jordi 'el niño polla'","El es Marcos VARGAS, En el dia de ayer falleció despues de hacer horas extras en el hospital Muñiz de Buenos Aires atendiendo a mas de 10 pacientes con coronavirus.",Redes sociales,2020-08-31T00:00:00Z
https://colombiacheck.com/chequeos/ni-el-matarraton-contiene-ivermectina-ni-la-ivermectina-se-recomienda-para-prevenir-el,2020-08-11T21:14:04Z,Falso,es,ColombiaCheck,colombiacheck.com,"Ni el matarratón contiene ivermectina, ni la ivermectina se recomienda para prevenir el COVID-19","El matarratón contiene ivermectina, medicamento para prevenir coronavirus",,
https://colombiacheck.com/chequeos/putin-si-dijo-que-su-hija-se-vacuno-contra-el-covid-19,2020-08-12T23:23:10Z,Verdadero pero...,es,ColombiaCheck,colombiacheck.com,Putin sí dijo que su hija se vacunó contra el COVID-19,Putin dijo que su hija se vacunó contra el coronavirus,,
https://colombiacheck.com/chequeos/las-afirmaciones-de-los-medicos-por-la-verdad-son-en-realidad-puras-mentiras-y-datos,2020-08-05T02:57:31Z,Falso,es,ColombiaCheck,colombiacheck.com,"Las afirmaciones de los ‘Médicos por la verdad’ son, en realidad, puras mentiras y datos imprecisos",Fotos de la manifestación en Berlín del 1 de agosto contra las medidas de Alemania para frenar el coronavirus,Redes sociales,2020-08-31T00:00:00Z
https://maldita.es/malditobulo/2020/08/05/fotos-manifestacion-1-agosto-berlin-alemania-coronavirus/,,Falso,es,Maldita.es,maldita.es,"No, estas fotos no son de la manifestación del 1 de agosto en Berlín contra las medidas de Alemania para frenar el coronavirus: son protestas antirracistas llevadas a cabo en junio","Foto de la manifestación de Berlín del 1 de agosto, en la calle del 17 de Junio, para protestar contra las restricciones del gobierno alemán por el coronavirus.",Redes sociales,2020-08-31T00:00:00Z
https://maldita.es/malditobulo/2020/08/04/foto-manifestacion-berlin-antimascarillas-alemania-coronavirus-loveparade/,,Falso,es,Maldita.es,maldita.es,"No, esta foto no es de la manifestación de Berlín contra las medidas de Alemania para frenar el coronavirus: es del festival 'Love Parade' de Berlín de 2003",La nueva vacuna contra el coronavirus contiene ‘ARN’ digitalizable,,
https://colombiacheck.com/chequeos/es-falso-que-la-nueva-vacuna-contra-el-coronavirus-tiene-arn-digitalizable-que-se-activa,2020-07-31T04:46:47Z,Falso,es,ColombiaCheck,colombiacheck.com,Es falso que “la nueva vacuna” contra el coronavirus tiene “ARN digitalizable” que se “activa mediante el 5G” y puede reactivar el virus,El Ministerio del Interior alemán define al coronavirus como 'falsa alarma global' en un informe filtrado a la prensa,,
https://www.newtral.es/bulos-alemania-informe-covid/20200729/,2020-07-29T00:00:00Z,Falso,es,Newtral,newtral.es,"No, el Ministerio del Interior alemán no ha definido al coronavirus como una “falsa alarma global” en un informe secreto","Cura del coronavirus es 'hidroxicloroquina, zinc y zitromax'",,
