timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
72585123052,11400,5,0,0.0000000000,0.0022222222,0.0177777778,-5.6875000000,30.8750000000,25.3750000000,-2.3500000000,-3.9500000000,-8.2400000000
72585131827,11401,5,0,0.0000000000,-0.0022222222,0.0188888889,-4.8750000000,30.1250000000,25.0000000000,-2.2900000000,-3.8800000000,-8.2200000000
72585151876,11402,5,0,-0.0011111111,-0.0033333333,0.0100000000,-4.8750000000,30.1250000000,25.0000000000,-2.2800000000,-3.8500000000,-8.1900000000
72585172345,11403,5,0,-0.0055555556,-0.0066666667,0.0000000000,-4.8750000000,30.1250000000,25.0000000000,-2.3600000000,-3.9200000000,-8.2200000000
72585206859,11404,5,0,-0.0155555556,-0.0066666667,0.0144444444,-4.5000000000,29.0625000000,23.8750000000,-2.3400000000,-4.0100000000,-8.2400000000
72585241736,11405,5,0,-0.0077777778,-0.0222222222,0.0066666667,-4.5000000000,29.0625000000,23.8750000000,-2.2900000000,-3.9100000000,-8.2600000000
72585274246,11406,5,0,-0.0066666667,-0.0200000000,0.0100000000,-4.5000000000,29.0625000000,23.8750000000,-2.3800000000,-3.9100000000,-8.1400000000
72585308173,11407,5,0,-0.0088888889,-0.0133333333,-0.0011111111,-5.6875000000,31.2500000000,25.3750000000,-2.2300000000,-3.9700000000,-8.2000000000
72585331823,11408,5,0,-0.0077777778,-0.0222222222,-0.0077777778,-5.6875000000,31.2500000000,25.3750000000,-2.2400000000,-3.9300000000,-8.2200000000
72585363056,11409,5,0,-0.0011111111,-0.0111111111,-0.0100000000,-5.6875000000,31.2500000000,25.3750000000,-2.3300000000,-3.8400000000,-8.0800000000
72585400729,11410,5,0,-0.0022222222,0.0144444444,-0.0266666667,-6.5000000000,29.4375000000,25.3750000000,-2.2800000000,-3.9900000000,-8.2200000000
72585428087,11411,5,0,0.0000000000,0.0077777778,-0.0122222222,-6.5000000000,29.4375000000,25.3750000000,-2.2900000000,-3.9800000000,-8.2900000000
72585486731,11412,5,0,0.0055555556,-0.0122222222,-0.0100000000,-6.5000000000,29.4375000000,25.3750000000,-2.3600000000,-3.9500000000,-8.1900000000
72585494223,11413,5,0,0.0011111111,-0.0144444444,-0.0100000000,-6.5000000000,29.4375000000,25.3750000000,-2.3000000000,-3.8900000000,-8.1700000000
72585522921,11414,5,0,-0.0022222222,0.0000000000,-0.0166666667,-7.3125000000,30.1250000000,26.5000000000,-2.2400000000,-3.9300000000,-8.1700000000
72585565134,11415,5,0,-0.0033333333,0.0033333333,-0.0111111111,-7.3125000000,30.1250000000,26.5000000000,-2.2800000000,-3.9600000000,-8.2100000000
72585579117,11416,5,0,0.0011111111,0.0011111111,-0.0100000000,-7.3125000000,30.1250000000,26.5000000000,-2.3400000000,-3.9900000000,-8.1600000000
72585614145,11417,5,0,0.0200000000,0.0066666667,0.0000000000,-5.3125000000,29.0625000000,26.1250000000,-2.3000000000,-3.9600000000,-8.1800000000
72585643091,11418,5,0,0.0155555556,0.0122222222,0.0055555556,-5.3125000000,29.0625000000,26.1250000000,-2.2900000000,-3.9300000000,-8.2300000000
72585675672,11419,5,0,0.0111111111,0.0122222222,0.0077777778,-5.3125000000,29.0625000000,26.1250000000,-2.3500000000,-3.8500000000,-8.2400000000
72585725530,11420,5,0,0.0100000000,0.0022222222,0.0000000000,-5.3125000000,30.1250000000,25.3750000000,-2.2700000000,-3.9100000000,-8.2100000000
72585739399,11421,5,0,0.0022222222,-0.0011111111,-0.0088888889,-5.3125000000,30.1250000000,25.3750000000,-2.2900000000,-3.8900000000,-8.1700000000
72585778139,11422,5,0,-0.0033333333,0.0000000000,0.0044444444,-5.3125000000,30.1250000000,25.3750000000,-2.3900000000,-3.9800000000,-8.2900000000
72585804345,11423,5,0,0.0000000000,-0.0088888889,-0.0011111111,-5.6875000000,30.1250000000,24.6250000000,-2.3000000000,-3.8700000000,-8.2400000000
72585870561,11424,5,0,0.0000000000,-0.0211111111,-0.0088888889,-5.6875000000,30.1250000000,24.6250000000,-2.2800000000,-3.9000000000,-8.2200000000
72585880578,11425,5,0,-0.0088888889,-0.0222222222,-0.0122222222,-5.6875000000,30.1250000000,24.6250000000,-2.3300000000,-3.9300000000,-8.1900000000
72585903559,11426,5,0,-0.0033333333,-0.0100000000,-0.0044444444,-6.5000000000,28.6875000000,24.6250000000,-2.2700000000,-3.8800000000,-8.1600000000
72585941877,11427,5,0,0.0077777778,-0.0044444444,-0.0133333333,-6.5000000000,28.6875000000,24.6250000000,-2.2800000000,-3.8900000000,-8.1400000000
72585959561,11428,5,0,0.0111111111,0.0111111111,-0.0166666667,-6.5000000000,28.6875000000,24.6250000000,-2.3500000000,-3.9800000000,-8.2200000000
72585989112,11429,5,0,0.0111111111,0.0000000000,-0.0100000000,-5.6875000000,29.8125000000,25.3750000000,-2.3300000000,-3.8400000000,-8.3000000000
72586020507,11430,5,0,0.0044444444,-0.0122222222,-0.0033333333,-5.6875000000,29.8125000000,25.3750000000,-2.2800000000,-3.8700000000,-8.2400000000
72586051750,11431,5,0,0.0000000000,-0.0155555556,-0.0033333333,-5.6875000000,29.8125000000,25.3750000000,-2.2400000000,-3.8900000000,-8.2100000000
72586083043,11432,5,0,-0.0022222222,-0.0111111111,-0.0044444444,-5.6875000000,29.8125000000,25.3750000000,-2.3100000000,-3.9200000000,-8.2100000000
72586114347,11433,5,0,-0.0055555556,-0.0077777778,0.0000000000,-6.5000000000,30.1250000000,24.6250000000,-2.2500000000,-3.9200000000,-8.1700000000
72586147946,11434,5,0,-0.0033333333,0.0044444444,0.0000000000,-6.5000000000,30.1250000000,24.6250000000,-2.2300000000,-3.8900000000,-8.1700000000
72586199406,11435,5,0,0.0011111111,0.0100000000,0.0000000000,-6.5000000000,30.1250000000,24.6250000000,-2.3500000000,-3.9100000000,-8.2400000000
72586249050,11436,5,0,0.0000000000,0.0100000000,0.0022222222,-4.8750000000,29.0625000000,22.3750000000,-2.2800000000,-3.9800000000,-8.2500000000
72586250477,11437,5,0,-0.0022222222,-0.0022222222,0.0133333333,-4.8750000000,29.0625000000,22.3750000000,-2.2500000000,-3.8900000000,-8.1900000000
72586274221,11438,5,0,0.0033333333,-0.0044444444,0.0111111111,-4.8750000000,29.0625000000,22.3750000000,-2.3600000000,-3.9200000000,-8.1700000000
72586305480,11439,5,0,0.0022222222,0.0011111111,0.0000000000,-6.5000000000,29.8125000000,25.7500000000,-2.3000000000,-3.9100000000,-8.1800000000
72586339216,11440,5,0,-0.0022222222,0.0066666667,0.0111111111,-6.5000000000,29.8125000000,25.7500000000,-2.2800000000,-4.0100000000,-8.3300000000
72586369779,11441,5,0,-0.0066666667,-0.0088888889,0.0277777778,-6.5000000000,29.8125000000,25.7500000000,-2.3300000000,-3.9000000000,-8.3300000000
72586389338,11442,5,0,-0.0055555556,-0.0266666667,0.0200000000,-6.1250000000,29.0625000000,25.3750000000,-2.2400000000,-3.9100000000,-8.1400000000
72586426873,11443,5,0,-0.0055555556,-0.0088888889,0.0100000000,-6.1250000000,29.0625000000,25.3750000000,-2.2000000000,-3.9100000000,-8.2100000000
72586459342,11444,5,0,-0.0033333333,0.0000000000,0.0011111111,-6.1250000000,29.0625000000,25.3750000000,-2.2500000000,-3.8700000000,-8.2700000000
