nombre_lugar,place_id,place_id_2
Restaurante Tierra Linda,{'place_id': 'ChIJx_X5T2wC0oURftCaX08beck'},ChIJx_X5T2wC0oURftCaX08beck
EL ASADOR TAQUERÃA,{'place_id': 'ChIJX5DIiy8FzoUR_r1rWfBAklM'},ChIJX5DIiy8FzoUR_r1rWfBAklM
RincÃ³n de mi Tierra,{'place_id': 'ChIJXa73W8r40YUR-d6mdFfIDVM'},ChIJXa73W8r40YUR-d6mdFfIDVM
Basilica of Our Lady of Guadalupe,{'place_id': 'ChIJxak0Kpz50YURsGoopfnqoCE'},ChIJxak0Kpz50YURsGoopfnqoCE
Dulce Patria,{'place_id': 'ChIJxaXnZgIC0oUR5kwVJF3F_X8'},ChIJxaXnZgIC0oUR5kwVJF3F_X8
Museo del TelÃ©grafo,{'place_id': 'ChIJXd8uYiz50YURLFjpXAHeFLQ'},ChIJXd8uYiz50YURLFjpXAHeFLQ
Mercado de San Juan,{'place_id': 'ChIJxSUeddX-0YURNIFMA2OAD6I'},ChIJxSUeddX-0YURNIFMA2OAD6I
Rica Pancita Anita,{'place_id': 'ChIJXxwZxdX-0YUROe0zLKkXHl4'},ChIJXxwZxdX-0YUROe0zLKkXHl4
Birria 3 Estrellas,{'place_id': 'ChIJxycAjK7-0YUR1qZv-NWNDYM'},ChIJxycAjK7-0YUR1qZv-NWNDYM
Las Delicias de Jalisco,{'place_id': 'ChIJXzNyxuz40YUR4TDe-9itIMk'},ChIJXzNyxuz40YUR4TDe-9itIMk
Hacienda de los Morales,{'place_id': 'ChIJxZ-x2B4C0oURqYAbNDQ2gBs'},ChIJxZ-x2B4C0oURqYAbNDQ2gBs
Quereres,{'place_id': 'ChIJY0mNVTP50YURiWFsFQWDunk'},ChIJY0mNVTP50YURiWFsFQWDunk
ChapulÃ­n,{'place_id': 'ChIJY0Y_A_8B0oURN4uHr150-YY'},ChIJY0Y_A_8B0oURN4uHr150-YY
Museo de la Ciudad de MÃ©xico,{'place_id': 'ChIJy2TvI83-0YUR3g8_H4M519E'},ChIJy2TvI83-0YUR3g8_H4M519E
Museo Mural Diego Rivera,{'place_id': 'ChIJY2WVmNX40YUReN3PtV1PvGQ'},ChIJY2WVmNX40YUReN3PtV1PvGQ
Pyramid Santa Cecilia Acatitlan,{'place_id': 'ChIJy7T8fcH30YURJK2c5GA0LYs'},ChIJy7T8fcH30YURJK2c5GA0LYs
Tusta Cocina Selecta Restaurante,{'place_id': 'ChIJYcscIxv_0YURlQEkR2BAl5Y'},ChIJYcscIxv_0YURlQEkR2BAl5Y
La Pizca Comida Mexicana & Gourmet,{'place_id': 'ChIJYdJpGA7_0YURju1dQSjo_5Y'},ChIJYdJpGA7_0YURju1dQSjo_5Y
Huaraches 5 de Mayo,{'place_id': 'ChIJ-yom4w0C0oURl96HuBziepk'},ChIJ-yom4w0C0oURl96HuBziepk
Sylvestre Artz,{'place_id': 'ChIJ-Yp5kGf_zYURKrda1G5GMUQ'},ChIJ-Yp5kGf_zYURKrda1G5GMUQ
Museo Archivo de la FotografÃ­a,{'place_id': 'ChIJyTUW3jL50YURKMKXNk1a184'},ChIJyTUW3jL50YURKMKXNk1a184
Museo de la CancillerÃ­a,{'place_id': 'ChIJYW8DpNP-0YURiUmMwnN1i8Q'},ChIJYW8DpNP-0YURiUmMwnN1i8Q
Museo del Juguete Antiguo MÃ©xico,{'place_id': 'ChIJYWPttNj-0YUR7jI4exTvVJc'},ChIJYWPttNj-0YUR7jI4exTvVJc
Antojitos Mexicanos,{'place_id': 'ChIJz1gtXxUH0oURGKCy9YEIPvQ'},ChIJz1gtXxUH0oURGKCy9YEIPvQ
Mercado de Sonora,{'place_id': 'ChIJZ2lB4Mf-0YUR1xUYsitgvN8'},ChIJZ2lB4Mf-0YUR1xUYsitgvN8
Museo de la luz,{'place_id': 'ChIJZ2On-3IAzoURHaRAraGdprE'},ChIJZ2On-3IAzoURHaRAraGdprE
ALDAMA THEATER,{'place_id': 'ChIJZ6vzqM740YURhRCNngYDyiY'},ChIJZ6vzqM740YURhRCNngYDyiY
Museo del CÃ¡rcamo de Dolores,{'place_id': 'ChIJz8dbfeYB0oURF7jfsmSa6D8'},ChIJz8dbfeYB0oURF7jfsmSa6D8
Tortas El Volcan,{'place_id': 'ChIJz9WtHqH50YURYyIo8N1otO8'},ChIJz9WtHqH50YURYyIo8N1otO8
Zona ArqueolÃ³gica de Cholula,{'place_id': 'ChIJZbmfJy_Gz4URgVYZhn1Y2Mg'},ChIJZbmfJy_Gz4URgVYZhn1Y2Mg
Birria Estilo Jalisco - Food Stand,{'place_id': 'ChIJZ-dNcTr_0YURvT79FclhNi0'},ChIJZ-dNcTr_0YURvT79FclhNi0
"MUEFA, Museo del EjÃ©rcito y de la Fuerza AÃ©rea",{'place_id': 'ChIJZTMErjL-0YURBU8Dj-O1oYY'},ChIJZTMErjL-0YURBU8Dj-O1oYY
Museo Casa de Carranza,{'place_id': 'ChIJzw7RuTT_0YURE2EXNI7CeCc'},ChIJzw7RuTT_0YURE2EXNI7CeCc
Museo de la Mujer,{'place_id': 'ChIJZxLBKjL50YURn3B43HOh60Y'},ChIJZxLBKjL50YURn3B43HOh60Y
Las Enchiladas del Parque,{'place_id': 'ChIJeaRXkh0A0oUR_h7STrE3yks'},ChIJeaRXkh0A0oUR_h7STrE3yks
Las Enchiladas del Parque,{'place_id': 'ChIJ8atQhhf_0YURkucwnNUFHzM'},ChIJ8atQhhf_0YURkucwnNUFHzM
"A darle, que es taco vegano",{'place_id': 'ChIJlfF36c3_0YURhdxsSsOr4l4'},ChIJlfF36c3_0YURhdxsSsOr4l4
"A darle, que es taco vegano",{'place_id': 'ChIJM-mrEEUBzoURmAf3fcw70SI'},ChIJM-mrEEUBzoURmAf3fcw70SI
Pepe Coyotes Mercado CoyoacÃ¡n,{'place_id': 'ChIJ79Y-rcT_0YURyBq3fiHweLU'},ChIJ79Y-rcT_0YURyBq3fiHweLU
Pepe Coyotes Mercado CoyoacÃ¡n,{'place_id': 'ChIJU67OTNv_0YURj-nw92FLYDc'},ChIJU67OTNv_0YURj-nw92FLYDc
La Tecla,{'place_id': 'ChIJITgvvy__0YUR0fZG9xzbMO4'},ChIJITgvvy__0YUR0fZG9xzbMO4
La Tecla,{'place_id': 'ChIJr7uFjLv_0YURgZHuIxsTbTg'},ChIJr7uFjLv_0YURgZHuIxsTbTg
Mercado Roma,{'place_id': 'ChIJ0Z9P0z7_0YURVqrnz-OpFms'},ChIJ0Z9P0z7_0YURVqrnz-OpFms
Mercado Roma,{'place_id': 'ChIJY3GHMuT_0YURoETJ-mqSwEo'},ChIJY3GHMuT_0YURoETJ-mqSwEo
Museo del Chocolate,{'place_id': 'ChIJfbxVhjL_0YURCiDlh4xnSpM'},ChIJfbxVhjL_0YURCiDlh4xnSpM
Museo del Chocolate,{'place_id': 'ChIJj3iqTz6KzYURIm7ydPUefxg'},ChIJj3iqTz6KzYURIm7ydPUefxg
La Marquesa,{'place_id': 'ChIJtcqX-UaIzYURHxIAmKuBaDs'},ChIJtcqX-UaIzYURHxIAmKuBaDs
La Marquesa,{'place_id': 'ChIJO4RHmCD4zYUREOONfjawkPc'},ChIJO4RHmCD4zYUREOONfjawkPc
Trajineras Xochimilco magico,{'place_id': 'ChIJkTWLbvkDzoURMoTKaekOPkA'},ChIJkTWLbvkDzoURMoTKaekOPkA
Trajineras Xochimilco magico,{'place_id': 'ChIJqaZmLfkDzoURdn8lFU3mX1s'},ChIJqaZmLfkDzoURdn8lFU3mX1s
Globopuerto Teotihuacán,{'place_id': 'ChIJUYNW_5QAzoURoYimp9fwTUw'},ChIJUYNW_5QAzoURoYimp9fwTUw
PISTA MOTOCROSS CHILUCA,{'place_id': 'ChIJAbfVduoa0oURWVJdh09wA6c'},ChIJAbfVduoa0oURWVJdh09wA6c
PISTA MOTOCROSS CHILUCA,{'place_id': 'ChIJx6efRqoa0oURVNDNhFKglFc'},ChIJx6efRqoa0oURVNDNhFKglFc
Pirámide de Tlatelolco,{'place_id': 'ChIJp3zIgyP50YUR6zMJBWCMnhc'},ChIJp3zIgyP50YUR6zMJBWCMnhc
Pirámide de Tlatelolco,{'place_id': 'ChIJIxPBgSP50YURVIuiNCdKQT8'},ChIJIxPBgSP50YURVIuiNCdKQT8
Piramides Ixtapaluca,{'place_id': 'ChIJzQIePTgezoURvfWK1TJj9cs'},ChIJzQIePTgezoURvfWK1TJj9cs
Piramides Ixtapaluca,{'place_id': 'ChIJDd3MPTgezoURdK58cFNLFAg'},ChIJDd3MPTgezoURdK58cFNLFAg
Pirámide de Tenayuca,{'place_id': 'ChIJ9cD_1cP30YURNsUyg6c10PA'},ChIJ9cD_1cP30YURNsUyg6c10PA
Parque nacional Tlalpan,{'place_id': 'ChIJo1vaV9L_zYUR70tTSdQ2hYg'},ChIJo1vaV9L_zYUR70tTSdQ2hYg
Parque nacional Tlalpan,{'place_id': 'ChIJCxNtZYYAzoURIyPFhCv9XSE'},ChIJCxNtZYYAzoURIyPFhCv9XSE
El Pialadero de Guadalajara,{'place_id': 'ChIJWXCipcsA0oURjg-DI0MA-dU'},ChIJWXCipcsA0oURjg-DI0MA-dU
El Pialadero de Guadalajara,{'place_id': 'ChIJRU2FLk__0YURikrh-RZMung'},ChIJRU2FLk__0YURikrh-RZMung
