place_id,conteo_reviews,comida,servicio,ambiente,satisfaccion,specials,comida_norm,servicio_norm,ambiente_norm,satisfaccion_norm
ChIJR9WWFMP_0YURY2cMl0sNyyc,111,117.0,28.0,7.0,47.0,pozole-carne-mole-cochinita-nogada-mariscos,1.054054054054054,0.25225225225225223,0.06306306306306306,0.42342342342342343
ChIJRbTWPoMCzoUR0Z1pr-oS_TI,25,22.0,7.0,3.0,7.0,pozole-tacos-enchiladas,0.88,0.28,0.12,0.28
ChIJrfdPdxP_0YUR1kIGyUDyoQU,35,40.0,19.0,1.0,28.0,tacos-cochinita,1.1428571428571428,0.5428571428571428,0.02857142857142857,0.8
ChIJrfTq9Tr_0YURAW5g2EXpLMY,88,55.0,48.0,28.0,43.0,tacos-carne-mole-cochinita-barbacoa-nogada-mariscos-chocolate,0.625,0.5454545454545454,0.3181818181818182,0.48863636363636365
ChIJrVoDKiv50YURHIyItBol2NY,109,109.0,57.0,26.0,74.0,tacos-birria-carne-mole-enchiladas-nogada-carnitas-chocolate,1.0,0.5229357798165137,0.23853211009174313,0.6788990825688074
ChIJrXiQqKr_0YURQRyD-zBJQS0,45,36.0,15.0,3.0,20.0,pozole,0.8,0.3333333333333333,0.06666666666666667,0.4444444444444444
ChIJrzFa3_8CzoURpd9RsgHkGRw,77,59.0,38.0,1.0,21.0,tacos-tortas-carne,0.7662337662337663,0.4935064935064935,0.012987012987012988,0.2727272727272727
ChIJs29OZZH40YUR73753MLhEnc,94,146.0,37.0,28.0,49.0,pozole-mole-nogada-enchiladas-chocolate,1.553191489361702,0.39361702127659576,0.2978723404255319,0.5212765957446809
ChIJs7qYCksA0oURhrtRb-GnQW8,18,18.0,5.0,3.0,6.0,pozole,1.0,0.2777777777777778,0.16666666666666666,0.3333333333333333
ChIJsfag4kgA0oURO5aVp6M1iM4,11,12.0,4.0,2.0,8.0,,1.0909090909090908,0.36363636363636365,0.18181818181818182,0.7272727272727273
ChIJsZvloi8FzoURvgsTQPmUfEU,67,60.0,31.0,1.0,27.0,pozole-birria-tacos,0.8955223880597015,0.4626865671641791,0.014925373134328358,0.40298507462686567
ChIJt2P2jEH_0YURBW7dpnjcxVs,96,68.0,36.0,15.0,54.0,carne-tacos-mole-enchiladas-tortas,0.7083333333333334,0.375,0.15625,0.5625
ChIJTa0Y9J750YURNsH7jIE3eNo,88,70.0,19.0,4.0,19.0,tortas-chocolate,0.7954545454545454,0.2159090909090909,0.045454545454545456,0.2159090909090909
ChIJtfhD_tT40YURj39iqrcd2ww,101,68.0,58.0,12.0,50.0,carne-mole-enchiladas-nogada-chocolate,0.6732673267326733,0.5742574257425742,0.1188118811881188,0.49504950495049505
ChIJtx82pHb40YURdEVhuQNLHA4,92,83.0,26.0,4.0,27.0,mariscos-tacos-enchiladas,0.9021739130434783,0.2826086956521739,0.043478260869565216,0.29347826086956524
ChIJtzpPhzT80YURfFBvdLz6AN8,32,38.0,8.0,0.0,14.0,pozole-carne-enchiladas,1.1875,0.25,0.0,0.4375
ChIJu7IziDkH0oURrwsuybTpzKI,41,31.0,9.0,1.0,21.0,cochinita-tortas-tacos,0.7560975609756098,0.21951219512195122,0.024390243902439025,0.5121951219512195
ChIJufeRJhsA0oURihuMwEKs2Ao,97,49.0,37.0,22.0,35.0,mole-carne-tacos-nogada,0.5051546391752577,0.38144329896907214,0.2268041237113402,0.36082474226804123
ChIJV4LlAB0C0oURDAvCk8vRpeM,102,86.0,42.0,12.0,58.0,mole-tacos-carne,0.8431372549019608,0.4117647058823529,0.11764705882352941,0.5686274509803921
ChIJv5KO8Uz-0YURvTUyYxZs3pw,113,127.0,42.0,20.0,38.0,mariscos-mole-enchiladas,1.1238938053097345,0.37168141592920356,0.17699115044247787,0.336283185840708
ChIJvQLg2Ar50YUR_M-6l6qNvCU,85,87.0,35.0,22.0,28.0,carne,1.0235294117647058,0.4117647058823529,0.25882352941176473,0.32941176470588235
ChIJVVVVFfn40YURQWN1neoikzg,34,46.0,14.0,3.0,8.0,,1.3529411764705883,0.4117647058823529,0.08823529411764706,0.23529411764705882
ChIJWZ2zdav40YURFvsU_rU3uaE,105,56.0,32.0,12.0,47.0,mole-tacos,0.5333333333333333,0.3047619047619048,0.11428571428571428,0.44761904761904764
ChIJwZyJ2nP_0YURZqiqMcjc-T8,90,78.0,53.0,20.0,42.0,carne-carnitas,0.8666666666666667,0.5888888888888889,0.2222222222222222,0.4666666666666667
ChIJx_X5T2wC0oURftCaX08beck,83,87.0,30.0,25.0,35.0,pozole,1.0481927710843373,0.3614457831325301,0.30120481927710846,0.42168674698795183
ChIJX5DIiy8FzoUR_r1rWfBAklM,53,56.0,26.0,8.0,13.0,tacos-tortas-carne,1.0566037735849056,0.49056603773584906,0.1509433962264151,0.24528301886792453
ChIJXa73W8r40YUR-d6mdFfIDVM,90,103.0,48.0,11.0,47.0,mole-carne,1.1444444444444444,0.5333333333333333,0.12222222222222222,0.5222222222222223
ChIJxaXnZgIC0oUR5kwVJF3F_X8,89,67.0,47.0,13.0,43.0,mariscos-mole-pozole-chocolate,0.7528089887640449,0.5280898876404494,0.14606741573033707,0.48314606741573035
ChIJxSUeddX-0YURNIFMA2OAD6I,89,41.0,12.0,1.0,24.0,mariscos-carne-tortas-tacos,0.4606741573033708,0.1348314606741573,0.011235955056179775,0.2696629213483146
ChIJXxwZxdX-0YUROe0zLKkXHl4,113,102.0,38.0,1.0,38.0,,0.9026548672566371,0.336283185840708,0.008849557522123894,0.336283185840708
ChIJxycAjK7-0YUR1qZv-NWNDYM,83,80.0,28.0,0.0,24.0,tacos-birria-carne,0.963855421686747,0.3373493975903614,0.0,0.2891566265060241
ChIJXzNyxuz40YUR4TDe-9itIMk,97,87.0,26.0,4.0,35.0,pozole-birria-carne,0.8969072164948454,0.26804123711340205,0.041237113402061855,0.36082474226804123
ChIJxZ-x2B4C0oURqYAbNDQ2gBs,72,34.0,42.0,13.0,46.0,carnitas-nogada,0.4722222222222222,0.5833333333333334,0.18055555555555555,0.6388888888888888
ChIJY0mNVTP50YURiWFsFQWDunk,34,34.0,14.0,2.0,39.0,mole,1.0,0.4117647058823529,0.058823529411764705,1.1470588235294117
ChIJY0Y_A_8B0oURN4uHr150-YY,86,79.0,48.0,16.0,37.0,mole-tacos-carne-chocolate,0.9186046511627907,0.5581395348837209,0.18604651162790697,0.43023255813953487
ChIJYdJpGA7_0YURju1dQSjo_5Y,94,93.0,52.0,19.0,32.0,mariscos-mole-carne-chocolate,0.9893617021276596,0.5531914893617021,0.20212765957446807,0.3404255319148936
ChIJ-yom4w0C0oURl96HuBziepk,87,73.0,24.0,1.0,14.0,,0.8390804597701149,0.27586206896551724,0.011494252873563218,0.16091954022988506
ChIJ-Yp5kGf_zYURKrda1G5GMUQ,91,71.0,42.0,30.0,53.0,carne-cochinita-tacos,0.7802197802197802,0.46153846153846156,0.32967032967032966,0.5824175824175825
ChIJZ2lB4Mf-0YUR1xUYsitgvN8,80,13.0,1.0,2.0,5.0,,0.1625,0.0125,0.025,0.0625
ChIJz9WtHqH50YURYyIo8N1otO8,32,18.0,4.0,0.0,9.0,carne-tortas,0.5625,0.125,0.0,0.28125
ChIJZ-dNcTr_0YURvT79FclhNi0,41,22.0,6.0,0.0,11.0,tacos-birria,0.5365853658536586,0.14634146341463414,0.0,0.2682926829268293
ChIJeaRXkh0A0oUR_h7STrE3yks,92,92.0,46.0,19.0,28.0,mole-enchiladas,1.0,0.5,0.20652173913043478,0.30434782608695654
ChIJlfF36c3_0YURhdxsSsOr4l4,90,108.0,31.0,9.0,35.0,tacos-birria-carne,1.2,0.34444444444444444,0.1,0.3888888888888889
ChIJU67OTNv_0YURj-nw92FLYDc,90,82.0,39.0,10.0,32.0,carne-tacos,0.9111111111111111,0.43333333333333335,0.1111111111111111,0.35555555555555557
ChIJITgvvy__0YUR0fZG9xzbMO4,102,91.0,40.0,20.0,56.0,tacos-nogada-chocolate-carnitas,0.8921568627450981,0.39215686274509803,0.19607843137254902,0.5490196078431373
ChIJ0Z9P0z7_0YURVqrnz-OpFms,80,40.0,13.0,7.0,30.0,tacos,0.5,0.1625,0.0875,0.375
ChIJY3GHMuT_0YURoETJ-mqSwEo,76,35.0,14.0,17.0,17.0,carnitas-carne-tortas-tacos,0.4605263157894737,0.18421052631578946,0.2236842105263158,0.2236842105263158
ChIJRU2FLk__0YURikrh-RZMung,90,79.0,37.0,2.0,17.0,carne-birria-tacos-barbacoa-tortas-carnitas-mariscos,0.8777777777777778,0.4111111111111111,0.022222222222222223,0.18888888888888888
