"TRAM","Rang","GEOM_WKT"
"T06517W","20 - 30 µg/m³","MULTILINESTRING ((432414.939233108 4588994.3973335,432356.131219431 4589004.60879504))"
"T07779U","20 - 30 µg/m³","MULTILINESTRING ((429583.966892103 4583856.828726,429558.057111694 4583890.96197495))"
"T01604A","20 - 30 µg/m³","MULTILINESTRING ((431370.546172363 4581294.22226489,431393.933100416 4581279.99106588,431407.28405889 4581271.80695217))"
"RD0096R","30 - 40 µg/m³","MULTILINESTRING ((426954.936192856 4584713.90081548,426957.451350204 4584715.54301944,426967.681417007 4584722.23295165,426988.241549939 4584735.52281519,427010.311692997 4584749.81266891,427031.671832981 4584763.87252742,427048.521946589 4584775.36241662,427053.511980174 4584778.76238382,427066.772073221 4584788.28229724,427079.612169083 4584798.27221456,427086.492224102 4584804.07217113,427092.062268425 4584808.76213583,427104.122370818 4584819.76206067,427106.40239094 4584821.94204661,427106.681729607 4584822.2075312))"
"T11514E","20 - 30 µg/m³","MULTILINESTRING ((426263.385951094 4583884.03804513,426220.69007689 4583909.33740883))"
"T07705C","20 - 30 µg/m³","MULTILINESTRING ((429254.701888044 4583660.22393353,429286.006091901 4583680.66872634))"
"T01816K","20 - 30 µg/m³","MULTILINESTRING ((428692.761338477 4581728.40926112,428786.762190701 4581821.51768887))"
"T08114P","20 - 30 µg/m³","MULTILINESTRING ((429448.195474883 4583303.56491909,429472.678683751 4583326.062767))"
"T06044K","20 - 30 µg/m³","MULTILINESTRING ((432075.274279264 4586826.8864721,432094.282034758 4586658.70706047))"
"T06450U","20 - 30 µg/m³","MULTILINESTRING ((432159.138372198 4588009.82171521,432128.064779185 4587937.92583663))"
"T06197A","20 - 30 µg/m³","MULTILINESTRING ((431933.209971723 4587475.27557822,431905.751949407 4587477.93679033))"
"T03390N","20 - 30 µg/m³","MULTILINESTRING ((426753.59749864 4580826.67862181,426685.938418318 4580829.88014132))"
"T07111I","20 - 30 µg/m³","MULTILINESTRING ((427022.158540469 4582621.72533969,427050.08500697 4582545.78001082))"
"T04067J","20 - 30 µg/m³","MULTILINESTRING ((427770.623170215 4578203.09182026,427691.38915664 4578349.28965009,427675.164381364 4578382.22582467))"
"T21525M","20 - 30 µg/m³","MULTILINESTRING ((433285.518453294 4587263.20200505,433350.829600121 4587269.28552037,433410.326743821 4587276.14108092))"
"T03626O","20 - 30 µg/m³","MULTILINESTRING ((430063.825342691 4580397.89279361,430120.639304888 4580381.43533647))"
"T16614B","20 - 30 µg/m³","MULTILINESTRING ((431342.544903124 4581264.48143139,431391.366776192 4581237.83402062))"
"T13314G","20 - 30 µg/m³","MULTILINESTRING ((431044.632945714 4581725.58939493,431023.890964503 4581732.28556231))"
"T07257Z","20 - 30 µg/m³","MULTILINESTRING ((427504.542421917 4582112.73088906,427555.152780004 4582149.57356052))"
"T16472F","20 - 30 µg/m³","MULTILINESTRING ((434037.989831884 4585444.64741974,434016.453962192 4585466.21561703))"
"T09561M","20 - 30 µg/m³","MULTILINESTRING ((433177.315935962 4585368.90480837,433271.356794217 4585463.15124766))"
"T06659J","20 - 30 µg/m³","MULTILINESTRING ((433855.201017112 4587749.32946256,433847.030438255 4587806.52861481))"
"T19395V","> 40 µg/m³","MULTILINESTRING ((431184.631060711 4588530.0371469,431226.60965278 4588547.45313668,431238.743875834 4588528.33650642))"
"T21153E","20 - 30 µg/m³","MULTILINESTRING ((428873.114973444 4584275.02477075,428842.761189862 4584309.65805431))"
"T11603E","20 - 30 µg/m³","MULTILINESTRING ((427265.123727747 4584833.77786139,427334.730459817 4584915.81745565))"
"T12671U","20 - 30 µg/m³","MULTILINESTRING ((430968.29297868 4588201.41703698,431075.931863415 4588296.13137187))"
"T14874L","20 - 30 µg/m³","MULTILINESTRING ((430181.876584091 4586593.70443592,430112.142913708 4586519.36984775))"
"T09844U","20 - 30 µg/m³","MULTILINESTRING ((434433.376320938 4585429.11540474,434453.790493198 4585447.72128003))"
"T11703H","<= 20 µg/m³","MULTILINESTRING ((425240.19404114 4585158.58477906,425242.906116749 4585167.97577267,425250.054333868 4585195.07475938,425249.828463408 4585212.16578708,425247.59652545 4585220.78781718,425235.348926246 4585276.04799461,425229.644115259 4585302.19407976,425233.208198796 4585312.49406904,425281.109337828 4585320.97671764,425292.504253808 4585307.52660938,425305.59116705 4585293.3654871,425324.310049414 4585273.96331355,425333.882994408 4585264.75522656,425340.643965104 4585259.51016708,425365.761958716 4585253.50796659,425422.361980432 4585244.73452203,425445.108039087 4585247.77835336,425501.480185458 4585255.45393552))"
"T10465I","20 - 30 µg/m³","MULTILINESTRING ((428350.201464815 4583130.8340114,428287.036863125 4583196.10059159))"
"T00876S","20 - 30 µg/m³","MULTILINESTRING ((431149.756189622 4581999.46801763,431155.117222559 4582002.71098198,431161.871261678 4582006.48393659,431168.693306695 4582011.01889185,431169.292311975 4582011.59188819))"
"T16405U","> 40 µg/m³","MULTILINESTRING ((433139.901063039 4582368.17751089,433137.22419249 4582385.75355807,433154.187382683 4582407.3424627,433195.824774957 4582450.52221358,433230.138035811 4582477.89399572,433290.666378048 4582510.66458764,433337.700591085 4582529.16925989,433368.928762209 4582545.36104827,433405.168985003 4582567.33680756,433436.397217653 4582591.62460833,433451.23324207 4582591.83349633))"
"T17280D","20 - 30 µg/m³","MULTILINESTRING ((433173.790258068 4587260.17984592,433205.471953074 4587081.54632277,433164.588826476 4587073.15961888))"
"T06654E","20 - 30 µg/m³","MULTILINESTRING ((433827.071940294 4587744.91766851,433817.956363159 4587802.53682858))"
"T08146X","20 - 30 µg/m³","MULTILINESTRING ((429533.001881832 4583339.86432896,429497.409570063 4583306.08954845,429476.015376496 4583284.97667914))"
"T04916Z","20 - 30 µg/m³","MULTILINESTRING ((429679.990559611 4585900.20114597,429608.966363174 4585888.76366827))"
"T20453J","20 - 30 µg/m³","MULTILINESTRING ((428627.404873527 4580758.62726817,428581.496810935 4580759.69561886))"
"T03531I","20 - 30 µg/m³","MULTILINESTRING ((429971.012919949 4580492.6646448,429876.987987781 4580520.60540246))"
"T06352T","20 - 30 µg/m³","MULTILINESTRING ((432182.498443436 4587750.56712758,432138.193535483 4587771.75649662))"
"T06327S","20 - 30 µg/m³","MULTILINESTRING ((432266.213700819 4587107.60247331,432268.585117074 4587162.0595419,432271.056333105 4587190.06856769))"
"T10844P","20 - 30 µg/m³","MULTILINESTRING ((426566.452404937 4583355.24693041,426525.337141628 4583328.99120327))"
"T21001P","20 - 30 µg/m³","MULTILINESTRING ((428545.752695291 4586018.11696869,428538.738831801 4586037.5890532))"
"T20039Z","20 - 30 µg/m³","MULTILINESTRING ((427733.337987655 4578714.22989958,427800.791374185 4578751.53344507))"
"T10568O","30 - 40 µg/m³","MULTILINESTRING ((427721.317594858 4583276.063019,427656.471493654 4583275.9675124))"
"T08133S","20 - 30 µg/m³","MULTILINESTRING ((429526.971933592 4583347.89538705,429503.775104753 4583375.11460494))"
"T02065Z","30 - 40 µg/m³","MULTILINESTRING ((430271.735866848 4582530.46547834,430402.620032847 4582657.16768002))"
"T19327J","20 - 30 µg/m³","MULTILINESTRING ((428895.190270154 4579043.58958311,428863.361463444 4579075.50987444,428855.722691225 4579107.08198141,428847.574968444 4579145.27410252,428837.90018924 4579176.33722417,428824.660389112 4579205.36336975,428803.782642934 4579243.04658678,428739.620077531 4579313.3211832,428698.762283867 4579348.79154862))"
"T08621D","20 - 30 µg/m³","MULTILINESTRING ((428354.595834833 4585547.20467088,428372.298016712 4585567.60956875,428391.28625241 4585594.86246779,428404.038399843 4585611.7303977))"
"T14387B","20 - 30 µg/m³","MULTILINESTRING ((432816.938892154 4587416.50479492,432853.581936177 4587414.84851491,432986.905074507 4587405.9454916))"
"T09133W","20 - 30 µg/m³","MULTILINESTRING ((432608.428535429 4583458.81119985,432705.552419633 4583555.40861182))"
"T20791Y","20 - 30 µg/m³","MULTILINESTRING ((426784.427058909 4584844.16053817,426673.690642636 4584943.61253252,426673.182704607 4584951.86754891))"
"T07703A","20 - 30 µg/m³","MULTILINESTRING ((429458.442564214 4583707.73645512,429495.977836514 4583735.91521222))"
"T04840W","20 - 30 µg/m³","MULTILINESTRING ((429428.08979594 4586247.19761856,429390.615972877 4586278.23595339))"
"T07159Y","30 - 40 µg/m³","MULTILINESTRING ((427064.953163112 4582299.94452082,427049.854111235 4582296.19262996,427021.157993719 4582286.57083355,427008.835897728 4582276.44291176,426998.023811403 4582267.27997998))"
"T01894Y","20 - 30 µg/m³","MULTILINESTRING ((429645.493485607 4582475.70815722,429553.283066524 4582570.83500376))"
"T04852A","20 - 30 µg/m³","MULTILINESTRING ((429590.505292702 4586147.50422295,429596.564726352 4586071.43205511))"
"T15819I","20 - 30 µg/m³","MULTILINESTRING ((429754.397965971 4580279.13496268,429745.984901933 4580272.40201626,429729.932505767 4580223.4700629,429709.855018407 4580163.33912288))"
"T15867Q","20 - 30 µg/m³","MULTILINESTRING ((428592.10717967 4578565.59214379,428491.300621488 4578644.2560319))"
"T15213K","20 - 30 µg/m³","MULTILINESTRING ((433541.525446339 4586550.4719363,433426.109832538 4586624.89192789,433407.170923238 4586640.71109634))"
"T05846G","30 - 40 µg/m³","MULTILINESTRING ((432109.676125952 4586139.43011605,432054.99203424 4586138.4615283))"
"T06050I","30 - 40 µg/m³","MULTILINESTRING ((431938.879816025 4586661.51924111,431863.801722264 4586664.45481403,431832.766677167 4586664.83204952))"
"T10301P","20 - 30 µg/m³","MULTILINESTRING ((432698.697525326 4583176.16508583,432609.98706595 4583265.24489315))"
"T02940R","20 - 30 µg/m³","MULTILINESTRING ((428204.978088646 4580609.21924972,428207.408745874 4580695.31436396))"
"T03685Z","20 - 30 µg/m³","MULTILINESTRING ((430343.849719338 4580522.31085928,430327.101339584 4580475.72691461))"
"T10764Q","20 - 30 µg/m³","MULTILINESTRING ((426040.319393174 4583461.34909797,425941.499221045 4583458.92184661))"
"T18494T","20 - 30 µg/m³","MULTILINESTRING ((427228.408844667 4581039.13533859,427218.875082209 4581072.37646234))"
"T14606T","30 - 40 µg/m³","MULTILINESTRING ((427683.370002422 4579649.39973135,427699.364029633 4579649.73961031,427710.31403436 4579648.1395246,427722.553997079 4579640.7394201,427722.553993287 4579640.23941933))"
"T07105K","20 - 30 µg/m³","MULTILINESTRING ((426461.735977606 4582530.35546449,426454.034042557 4582540.48353864,426440.227132769 4582555.18566627,426422.942232579 4582571.86282339))"
"T04121Y","20 - 30 µg/m³","MULTILINESTRING ((428024.778887457 4577850.43033954,427993.135163621 4577893.27464675))"
"T10650H","20 - 30 µg/m³","MULTILINESTRING ((427892.34911071 4583440.65896821,427892.613689236 4583516.7240821))"
"T09921Q","20 - 30 µg/m³","MULTILINESTRING ((434419.502996091 4584862.43463093,434513.330850806 4584955.85806309))"
"T10971V","20 - 30 µg/m³","MULTILINESTRING ((426724.124846211 4583644.34917155,426717.922898896 4583652.55123128,426647.049516564 4583748.33791699,426644.033539452 4583751.96694549))"
"T03167I","20 - 30 µg/m³","MULTILINESTRING ((427669.107432459 4581290.38137387,427646.932864719 4581351.83363708))"
"T02088G","30 - 40 µg/m³","MULTILINESTRING ((431269.174813231 4583109.57580669,431363.034665219 4583202.54523752))"
"T18821O","20 - 30 µg/m³","MULTILINESTRING ((426465.407871649 4584490.19143004,426504.244028383 4584502.86015354))"
"T08636K","20 - 30 µg/m³","MULTILINESTRING ((428370.430746766 4585268.00610311,428375.062856661 4585281.58008959,428338.456222517 4585337.44145785,428311.708497755 4585379.30272858,428293.714772025 4585419.23992956))"
"T03846Y","20 - 30 µg/m³","MULTILINESTRING ((427604.267384093 4579188.35961735,427500.903479265 4579090.01325011,427488.894311308 4578938.40910572))"
"T17189J","20 - 30 µg/m³","MULTILINESTRING ((432418.871307591 4587420.5048146,432401.977078581 4587393.72890001))"
"T10272B","20 - 30 µg/m³","MULTILINESTRING ((434577.329524459 4585294.835102,434591.321636997 4585306.85901536))"
"T21006U","20 - 30 µg/m³","MULTILINESTRING ((429545.773391362 4585641.10075246,429561.268162651 4585607.70358096,429577.592864209 4585564.91938808))"
"T11351D","20 - 30 µg/m³","MULTILINESTRING ((428877.371928846 4583742.31693001,428863.617991996 4583753.42005155))"
"T12888J","<= 20 µg/m³","MULTILINESTRING ((431087.439374556 4589680.36947179,431100.283433902 4589685.56138264,431119.628485752 4589688.43124057,431138.683566063 4589695.1141067,431149.407627923 4589701.07203482,431160.272693218 4589707.45396254,431171.133774575 4589715.95489362,431191.588918157 4589730.69376183,431205.980010427 4589739.90966729,431223.61811101 4589749.55554882,431238.013183998 4589756.22845024,431260.880277807 4589763.90928905,431271.047303439 4589765.20421405,431279.952286364 4589761.12714015,431284.395261093 4589756.8840998))"
"T05532R","20 - 30 µg/m³","MULTILINESTRING ((427778.56259452 4586558.30767067,427770.168603403 4586561.20173918,427715.115604426 4586572.62417645))"
"T08154X","20 - 30 µg/m³","MULTILINESTRING ((429590.297444456 4583402.21998774,429569.417630557 4583430.93219025))"
"T04875H","20 - 30 µg/m³","MULTILINESTRING ((428983.267300401 4586008.47462271,428990.751191323 4585992.53054023,428998.336066835 4585974.52945371,429009.178949983 4585956.87034292,429025.574849733 4585940.26819155))"
"T06004C","20 - 30 µg/m³","MULTILINESTRING ((432006.121642033 4587020.89530422,432013.21631614 4586976.42717978))"
"T07686Q","20 - 30 µg/m³","MULTILINESTRING ((426894.386284276 4581033.32287002,426885.235362355 4581045.47695837,426815.282116424 4581159.10366567))"
"T10424Z","20 - 30 µg/m³","MULTILINESTRING ((428986.95308673 4583477.75769391,428960.167831381 4583449.61885496))"
"T14744C","20 - 30 µg/m³","MULTILINESTRING ((431656.87571195 4583280.51413152,431763.62466257 4583383.84948062))"
"T07620Y","20 - 30 µg/m³","MULTILINESTRING ((427041.392132606 4581246.92808124,427070.111354698 4581270.33989887,427119.297732216 4581310.05958594,427155.433997792 4581337.68835363))"
"T19479Y","20 - 30 µg/m³","MULTILINESTRING ((430816.412903023 4581240.00438002,430804.7677317 4581219.82643731,430784.679476402 4581190.31554426))"
"T10105N","20 - 30 µg/m³","MULTILINESTRING ((433174.784922387 4583263.48861539,433083.163509164 4583359.20945484))"
"T14451S","20 - 30 µg/m³","MULTILINESTRING ((433452.205537111 4586712.56886973,433427.93662657 4586729.30707997,433397.546711312 4586746.66733752,433370.536774279 4586760.46756383,433319.771883184 4586785.16098721))"
"T03102R","20 - 30 µg/m³","MULTILINESTRING ((427651.530387596 4580892.81589523,427731.130650155 4580911.22331829))"
"T07354Z","20 - 30 µg/m³","MULTILINESTRING ((427638.452141133 4581653.40116523,427610.618503703 4581706.81945902))"
"T16793T","20 - 30 µg/m³","MULTILINESTRING ((425933.584373056 4576093.67646356,425844.316561009 4576136.64320918))"
"T05804W","20 - 30 µg/m³","MULTILINESTRING ((431658.643711429 4585383.99932053,431639.931823122 4585402.57149185))"
"T06162P","20 - 30 µg/m³","MULTILINESTRING ((432690.916214688 4586956.88601922,432707.646016253 4586927.28884557))"
"T06331O","20 - 30 µg/m³","MULTILINESTRING ((432354.991843812 4587240.3560122,432415.911884128 4587233.25553978,432439.899913568 4587232.25035661,432459.6639474 4587232.68620769,432470.128984447 4587235.44213285,432493.487089987 4587244.60897059,432513.596183674 4587252.8738315))"
"T19476V","20 - 30 µg/m³","MULTILINESTRING ((431458.497131055 4582192.11197374,431458.376168536 4582197.06798223,431456.954200115 4582201.51199979,431452.332228101 4582206.13404186,431430.163349132 4582226.56624098))"
"T18131V","<= 20 µg/m³","MULTILINESTRING ((431386.955037225 4589706.34224307,431377.65864196 4589656.12923445,431372.497566328 4589647.21425952,431342.465291893 4589617.18243978,431339.650255494 4589612.95945446,431332.611077297 4589590.90447306,431319.471935891 4589574.95054748,431311.494863 4589566.97359536,431307.740771761 4589555.71160606,431309.148624497 4589536.00356434,431308.679591743 4589531.78056123,431299.294505991 4589522.39561756,431285.686392328 4589510.19570144,431272.547226017 4589490.95677068,431270.201147649 4589481.10277293,431261.139757943 4589431.56676349))"
"T10539J","20 - 30 µg/m³","MULTILINESTRING ((427725.298987824 4583063.76266469,427640.450490749 4583015.63823693))"
"T01148X","20 - 30 µg/m³","MULTILINESTRING ((430198.189629392 4581066.76179941,430333.121991456 4580955.29460542))"
"T19331F","20 - 30 µg/m³","MULTILINESTRING ((429071.496578963 4586687.74903599,429087.665576646 4586684.13690717,429088.353378458 4586657.81885996,429088.130098083 4586620.83080266))"
"T09268K","20 - 30 µg/m³","MULTILINESTRING ((433597.849012908 4583978.83750375,433555.256272469 4584021.57289106))"
"T15966S","20 - 30 µg/m³","MULTILINESTRING ((427709.688642006 4584863.14452027,427706.402636901 4584863.14454529,427701.707636748 4584864.08358247,427697.951650551 4584866.66561498,427694.430678998 4584871.12564856,427683.398818969 4584891.78376387,427654.526166861 4584943.42606197,427641.068337565 4584968.62120262))"
"T21552P","30 - 40 µg/m³","MULTILINESTRING ((430099.337958976 4587980.67227399,430093.278076975 4587997.48434679,430079.822185939 4588014.61047634,430076.152209931 4588018.52551048,430084.960275414 4588025.37545436,430050.952727044 4588091.9228187,430030.890705354 4588093.14697323))"
"T18122U","20 - 30 µg/m³","MULTILINESTRING ((431626.455058801 4588736.96689962,431581.648427456 4588794.76433034))"
"T02175E","20 - 30 µg/m³","MULTILINESTRING ((429175.803969133 4582766.19417339,429271.189827878 4582859.80059038))"
"T11256F","20 - 30 µg/m³","MULTILINESTRING ((428466.5929686 4584357.18799012,428461.045008331 4584363.54304199,428408.541246737 4584405.59150547))"
"T15324Q","20 - 30 µg/m³","MULTILINESTRING ((433730.024834851 4586431.48732092,433708.68663916 4586409.99444819,433698.387461659 4586388.66049219,433683.674115729 4586345.99353567,433669.69679602 4586306.63657882,433738.111681093 4586277.578015,433772.318544191 4586252.56571641,433783.24148181 4586242.11561715))"
"T18699E","20 - 30 µg/m³","MULTILINESTRING ((426231.69966652 4583984.68843991,426221.746555643 4583972.13349656,426208.657622397 4583983.59961371))"
"T18093G","20 - 30 µg/m³","MULTILINESTRING ((431426.664460685 4587115.26584079,431407.097462744 4587119.53599572,431393.112476411 4587124.198109))"
"T17653M","20 - 30 µg/m³","MULTILINESTRING ((430675.260648147 4587293.70381371,430640.902146616 4587234.50997958))"
"T12966G","20 - 30 µg/m³","MULTILINESTRING ((431603.744148063 4590599.25100298,431606.805259523 4590613.31200182,431620.170382412 4590626.76592161,431618.153473473 4590639.17995635,431610.925530589 4590648.18902526,431600.44659327 4590658.59812101,431597.325623676 4590663.24515195,431588.821689971 4590673.72523284))"
"T14894P","20 - 30 µg/m³","MULTILINESTRING ((428364.572001225 4578851.85431726,428386.476050534 4578853.92015404,428388.921031469 4578850.9111308))"
"T20860U","<= 20 µg/m³","MULTILINESTRING ((430849.24541717 4589207.27753044,430838.934487386 4589218.65462653))"
"T16406V","20 - 30 µg/m³","MULTILINESTRING ((433117.393388352 4582283.95855229,433107.212494591 4582300.00165395,433104.435623962 4582317.58770192,433114.839790491 4582337.39265348,433139.901063039 4582368.17751089))"
"T06265V","20 - 30 µg/m³","MULTILINESTRING ((431775.957881888 4586835.48975134,431776.567422703 4586906.7678602,431773.932113472 4586998.50302617,431738.093404377 4587044.2243702))"
"T12883E","<= 20 µg/m³","MULTILINESTRING ((431412.390326523 4589871.12130965,431386.137212961 4589861.53049351,431339.555025073 4589846.30782256,431300.173854942 4589831.95009839,431282.529778982 4589825.55222203,431268.692740083 4589823.26032328,431255.991674044 4589817.15740992,431241.042549245 4589803.76750213))"
"T05030A","20 - 30 µg/m³","MULTILINESTRING ((429970.507514719 4585306.17898161,429986.768716073 4585329.47189524))"
"T06319S","20 - 30 µg/m³","MULTILINESTRING ((432327.906158273 4587419.3515014,432326.881018745 4587401.14748027,432301.589004108 4587404.37467686))"
"T02989I","20 - 30 µg/m³","MULTILINESTRING ((427927.84362901 4580077.81553615,427860.957288986 4580178.38020009))"
"T02356H","20 - 30 µg/m³","MULTILINESTRING ((431130.263406575 4582295.12261704,431056.756861644 4582369.94628798))"
"T07099D","20 - 30 µg/m³","MULTILINESTRING ((426511.205980415 4582257.2016688,426470.766250265 4582301.00504379))"
"T19526O","20 - 30 µg/m³","MULTILINESTRING ((432809.746605999 4584216.19782795,432903.050443414 4584307.39826039))"
"T19736W","20 - 30 µg/m³","MULTILINESTRING ((432257.025649399 4584333.81418888,432275.084190564 4584401.28515451))"
"T18210T","20 - 30 µg/m³","MULTILINESTRING ((430091.419732061 4586895.90860689,430075.437598932 4586881.58470562))"
"T17345D","<= 20 µg/m³","MULTILINESTRING ((424883.314590661 4584909.48111906,424872.812574958 4584909.57419922,424858.653550698 4584909.29330666,424840.462513719 4584908.16744353,424830.522493917 4584907.60551841,424824.146469701 4584905.72956413,424819.270449255 4584904.04159871,424798.266386514 4584900.10375273,424790.389367074 4584899.16581131,424783.450354812 4584898.97886389,424775.386346486 4584899.54192619,424769.948340836 4584899.91696819,424766.94733472 4584899.72899077,424754.382289431 4584896.35308135,424725.502158806 4584885.10128425,424707.498062275 4584876.0994077,424701.647985091 4584867.14343863))"
"T12021S","20 - 30 µg/m³","MULTILINESTRING ((431996.573089963 4588929.16039957,431893.606858141 4589051.52437259))"
"T20990D","20 - 30 µg/m³","MULTILINESTRING ((428989.543418163 4579966.54029402,429009.140513064 4579975.07615825))"
"T19508M","<= 20 µg/m³","MULTILINESTRING ((423919.315763251 4586186.56546794,423909.120724396 4586183.54254081))"
"T09971A","20 - 30 µg/m³","MULTILINESTRING ((433448.745191218 4583243.40451119,433491.184962695 4583204.76013098))"
"T10320S","20 - 30 µg/m³","MULTILINESTRING ((431839.091583999 4585198.32165885,431897.368594443 4585319.90341186,431904.490635415 4585323.86636432))"
"T00797U","20 - 30 µg/m³","MULTILINESTRING ((431184.718427158 4582023.60878972,431194.536509647 4582032.4647289))"
"T07093X","20 - 30 µg/m³","MULTILINESTRING ((426701.705912709 4582209.38714582,426685.705271266 4582259.87934509))"
"T06356X","20 - 30 µg/m³","MULTILINESTRING ((432182.498443436 4587750.56712758,432185.383080672 4587702.11102892))"
"T16979B","20 - 30 µg/m³","MULTILINESTRING ((431405.149846956 4585189.43192856,431434.991114782 4585218.60174734,431444.757277737 4585238.14570481))"
"T04877J","20 - 30 µg/m³","MULTILINESTRING ((429058.738724724 4585916.9619018,429067.114702384 4585912.29583058))"
"T20165E","20 - 30 µg/m³","MULTILINESTRING ((432622.360043542 4587080.2427341,432626.351008188 4587074.76369518,432640.805879314 4587054.81055408,432653.664758048 4587036.18642717,432662.799696445 4587026.19534215))"
"T21473R","20 - 30 µg/m³","MULTILINESTRING ((431882.421043743 4581436.4156054,431856.355911436 4581424.29978425,431796.432566809 4581391.12218726,431778.335477749 4581383.079312,431766.069443519 4581381.06840184))"
"T17989H","30 - 40 µg/m³","MULTILINESTRING ((429195.621385342 4587656.10130694,429171.580353932 4587678.84727938))"
"T11757V","<= 20 µg/m³","MULTILINESTRING ((424821.527785545 4584816.22044775,424825.653868659 4584826.31143169,424833.438923591 4584831.94038096,424866.342078251 4584845.53015099))"
"T18867C","20 - 30 µg/m³","MULTILINESTRING ((430237.662060581 4586909.47051582,430180.721213942 4586941.34199993,430158.321320676 4586960.00920015))"
"T07048S","20 - 30 µg/m³","MULTILINESTRING ((426392.410737659 4582381.20976319,426301.248320916 4582476.66160346))"
"T11972A","20 - 30 µg/m³","MULTILINESTRING ((431664.551892132 4588443.35014683,431624.04803095 4588469.94849568))"
"T17336C","20 - 30 µg/m³","MULTILINESTRING ((431634.428061324 4586888.07190635,431636.215510189 4586946.9709866))"
"T01626G","20 - 30 µg/m³","MULTILINESTRING ((431354.991663269 4581098.73308266,431383.003075488 4581147.295945))"
"T02240W","20 - 30 µg/m³","MULTILINESTRING ((431750.467111291 4583182.52227382,431858.377070183 4583286.71961551))"
"T14456X","20 - 30 µg/m³","MULTILINESTRING ((433080.284941813 4583548.19976468,432991.312524601 4583642.84558219))"
"T09073B","20 - 30 µg/m³","MULTILINESTRING ((432185.589131302 4584280.18764816,432202.469123892 4584275.79351376,432220.789690375 4584346.54048238))"
"T14427S","20 - 30 µg/m³","MULTILINESTRING ((433019.934757651 4588676.36825005,433095.334140009 4588711.40673429))"
"T04214C","20 - 30 µg/m³","MULTILINESTRING ((430743.201904051 4584805.73535862,430835.574723321 4584894.61779368))"
"T09051V","30 - 40 µg/m³","MULTILINESTRING ((431721.645635369 4584177.60800371,431794.103661922 4584297.84263756))"
"T04716T","20 - 30 µg/m³","MULTILINESTRING ((430080.289941104 4586661.60031743,430064.762076394 4586682.6414692))"
"T16277E","20 - 30 µg/m³","MULTILINESTRING ((431514.525581948 4587113.32517257,431507.631723967 4587133.48325683,431498.90486547 4587153.94735546,431480.246148886 4587195.17656231,431468.810432092 4587234.90171207,431463.393617474 4587260.48179376,431452.184848755 4587293.30493082))"
"T12618P","20 - 30 µg/m³","MULTILINESTRING ((430586.109633868 4587310.07251479,430529.361705813 4587331.19497812))"
"T19670V","20 - 30 µg/m³","MULTILINESTRING ((434453.604188788 4585407.57521742,434433.376320938 4585429.11540474))"
"T19841W","20 - 30 µg/m³","MULTILINESTRING ((427932.997064228 4584084.02463782,427920.802109019 4584092.4037434))"
"T02110N","20 - 30 µg/m³","MULTILINESTRING ((430183.052476625 4582628.67430132,430093.618081 4582726.28313026))"
"T04246K","20 - 30 µg/m³","MULTILINESTRING ((430502.654566613 4584678.87598764,430459.796850337 4584724.8633814))"
"T01037R","20 - 30 µg/m³","MULTILINESTRING ((430196.861190406 4581667.30972913,430147.961349174 4581698.09614805))"
"T05447V","20 - 30 µg/m³","MULTILINESTRING ((428490.060594814 4585884.1301785,428500.004638595 4585887.87710879,428513.021665895 4585888.81701119,428530.39868986 4585888.42287827,428546.630704685 4585887.05575251,428563.416714956 4585884.97362139,428587.889727904 4585881.67042979))"
"T13752Y","20 - 30 µg/m³","MULTILINESTRING ((426456.582994981 4583718.65132181,426509.743365292 4583756.51497484))"
"T17418D","20 - 30 µg/m³","MULTILINESTRING ((429058.412054886 4586092.78218551,429030.880093481 4586103.51541224))"
"T20496U","20 - 30 µg/m³","MULTILINESTRING ((431592.822297805 4589039.17463164,431575.188215983 4589031.99275389,431562.053171501 4589028.81484838,431549.555158525 4589029.66194439,431537.479181543 4589035.17004457,431518.816269455 4589050.58621029))"
"T10376I","20 - 30 µg/m³","MULTILINESTRING ((428886.528535028 4583294.0771787,428842.794838603 4583342.90258582))"
"T13697I","20 - 30 µg/m³","MULTILINESTRING ((430106.243783522 4580052.30093929,430152.989844747 4580050.92358192))"
"T13366S","20 - 30 µg/m³","MULTILINESTRING ((433761.263003123 4587370.90757493,433686.409812942 4587361.03712584))"
"T05237N","20 - 30 µg/m³","MULTILINESTRING ((429751.951636006 4587084.57449071,429799.300227516 4587153.03023956))"
"T17292H","20 - 30 µg/m³","MULTILINESTRING ((433074.173619488 4582980.95294567,433171.178482056 4583074.77135465))"
"T09003N","20 - 30 µg/m³","MULTILINESTRING ((431784.298721945 4584570.57112473,431702.378237569 4584654.93787228))"
"T09994H","20 - 30 µg/m³","MULTILINESTRING ((433363.925191238 4583260.56917936,433269.957778909 4583356.87703751))"
"T17528I","20 - 30 µg/m³","MULTILINESTRING ((432086.416854074 4587956.3111811,432056.813909796 4587969.70842648))"
"T13869K","<= 20 µg/m³","MULTILINESTRING ((424485.077246996 4585209.42460984,424459.041022752 4585185.27277147,424412.551301648 4585231.55319615,424408.471329913 4585236.11323418,424401.541393983 4585245.97330199,424386.041695297 4585288.84348575,424378.701838941 4585309.33357431,424379.51192349 4585320.33358565,424380.33197936 4585327.54359088,424380.331975574 4585327.04359009))"
"T10489Q","20 - 30 µg/m³","MULTILINESTRING ((428192.665217979 4582604.02440588,428240.754936713 4582688.83416959))"
