"TRAM","Rang","GEOM_WKT"
"T13859I","<= 20 µg/m³","MULTILINESTRING ((424459.864524435 4585647.24349368,424448.004487636 4585644.83358021,424417.434412863 4585641.27380744,424403.584357576 4585636.83390589,424394.984303761 4585631.50396294,424373.494162467 4585617.28410405,424347.703997711 4585600.8542744,424340.543939409 4585594.63431906,424331.943851899 4585584.85436902,424331.943848112 4585584.35436823))"
"T12035Y","20 - 30 µg/m³","MULTILINESTRING ((431753.902497331 4588504.91656749,431710.847535568 4588518.76591549))"
"RD0129Y","30 - 40 µg/m³","MULTILINESTRING ((427444.690070531 4585104.51411938,427447.385079233 4585105.73987963,427461.645141652 4585111.07977887,427476.135200472 4585115.81967597,427490.82525478 4585119.95957011,427505.675304691 4585123.49946238,427514.675332546 4585125.3193966,427541.075413364 4585130.55920345,427563.21548218 4585135.04904153,427574.625517388 4585137.30895856,427586.228685665 4585139.60601506))"
"T08313U","20 - 30 µg/m³","MULTILINESTRING ((430341.303872854 4584357.70972385,430293.684233692 4584414.81017057))"
"T02155A","20 - 30 µg/m³","MULTILINESTRING ((428794.931967909 4582580.24578732,428890.578831739 4582674.4802035))"
"T07338Z","20 - 30 µg/m³","MULTILINESTRING ((427638.417396132 4581818.69341937,427665.366505622 4581827.62622809))"
"T20016S","20 - 30 µg/m³","MULTILINESTRING ((429488.714565859 4580411.8841865,429479.357459507 4580399.77023898,429479.15712172 4580355.32117205))"
"T01346B","20 - 30 µg/m³","MULTILINESTRING ((430145.229498645 4581323.50859552,430097.853405668 4581320.85395166))"
"T20218A","30 - 40 µg/m³","MULTILINESTRING ((426600.530847514 4582089.73573188,426596.381928403 4582101.23778112,426597.676105715 4582124.32980675,426600.96023851 4582141.15080761,426606.037335545 4582152.89578701,426612.286400794 4582160.2147507))"
"T09490O","20 - 30 µg/m³","MULTILINESTRING ((433899.225301037 4585007.44378604,433853.577613738 4585057.74820754))"
"T04836A","20 - 30 µg/m³","MULTILINESTRING ((429502.047357325 4586174.1259388,429497.127343295 4586173.2779749,429478.223224939 4586161.50509995))"
"T03700H","20 - 30 µg/m³","MULTILINESTRING ((430754.026600673 4580422.98259783,430741.272665499 4580434.12071162,430653.340790131 4580468.47143089))"
"T16869W","20 - 30 µg/m³","MULTILINESTRING ((425186.406875673 4582382.67194377,425179.31089019 4582386.03900296,425169.672884963 4582387.3250783))"
"T12574U","20 - 30 µg/m³","MULTILINESTRING ((430336.919918553 4587398.71354283,430328.083699484 4587371.59456655))"
"T05832A","20 - 30 µg/m³","MULTILINESTRING ((432144.701937071 4585843.20537796,432107.018196569 4585885.15573011))"
"T04793G","20 - 30 µg/m³","MULTILINESTRING ((429517.764786473 4586227.61390472,429481.093534184 4586201.77714251))"
"T06025H","20 - 30 µg/m³","MULTILINESTRING ((432213.081676992 4587115.29288772,432113.435629313 4587129.32466429))"
"T17868Z","30 - 40 µg/m³","MULTILINESTRING ((430422.86786846 4584997.50507202,430450.65899948 4585009.07087913))"
"T20171C","20 - 30 µg/m³","MULTILINESTRING ((430666.460433886 4581472.05687172,430658.569409312 4581470.43092901,430615.325174187 4581448.30022275))"
"T05043F","20 - 30 µg/m³","MULTILINESTRING ((429974.163625069 4585056.6945699,430044.618977752 4585088.71008174))"
"T20906R","20 - 30 µg/m³","MULTILINESTRING ((432306.525766329 4582234.98661717,432403.955621685 4582327.75902136))"
"T08793W","20 - 30 µg/m³","MULTILINESTRING ((432402.727497481 4584678.62760884,432450.655233677 4584765.67337799))"
"T21272K","20 - 30 µg/m³","MULTILINESTRING ((433518.623789469 4587655.86986252,433515.619338842 4587728.94100085))"
"T20352F","20 - 30 µg/m³","MULTILINESTRING ((426300.147215464 4581804.32257847,426312.772267479 4581808.59748899,426303.377469251 4581837.10060434,426349.714659515 4581852.7052758,426345.096761129 4581867.03633299,426384.905923144 4581880.25205043))"
"T07990V","20 - 30 µg/m³","MULTILINESTRING ((429680.823886454 4584362.22275429,429671.366975665 4584375.86984692))"
"T01527E","20 - 30 µg/m³","MULTILINESTRING ((431385.170560637 4581605.59563153,431392.596536347 4581600.88756807,431400.689419092 4581583.80848059,431406.43631682 4581569.17841464,431412.501273929 4581562.29935815))"
"T18597Z","20 - 30 µg/m³","MULTILINESTRING ((427902.699909942 4584332.96124656,427933.888745274 4584304.94096656))"
"T02171A","20 - 30 µg/m³","MULTILINESTRING ((429363.674798973 4582574.10345115,429268.680392315 4582671.44832231))"
"T10206R","20 - 30 µg/m³","MULTILINESTRING ((432655.340756347 4582952.27707245,432565.813299398 4583041.85488689))"
"T00885T","20 - 30 µg/m³","MULTILINESTRING ((430967.017518365 4582079.91652474,431008.956828462 4582112.18025637))"
"T20930R","30 - 40 µg/m³","MULTILINESTRING ((426146.499125084 4583930.8740066,426161.071240402 4583943.06791424))"
"T05082M","20 - 30 µg/m³","MULTILINESTRING ((429345.426306367 4586331.53438252,429151.601199774 4586224.97768749))"
