,Usuario_Id,recency,Avg_dias,distancia,total_min,num_reincidencia,mes,recency_t,Avg_dias_t,distancia_t,total_min_t,num_reincidencia_t,mes_t,Cluster
1534,111050,238,15.5,1.8919869483117702,14.0,5,0.2,6.197154434741126,1.7300806134344884,1.8919869483117702,2.4101422641752297,1.7099759466766968,0.2,1
1535,111075,1,1.7,1.4673680406971041,6.117241379310345,145,1.0,1.0,1.1119615859385787,1.4673680406971041,1.828879979875169,5.253587872492901,1.0,0
1536,111136,0,1.61,0.711686691012308,9.112582781456954,151,0.9,0.0,1.0999303238012526,0.711686691012308,2.0887213000034905,5.325074021614986,0.9,0
1537,111147,0,0.18,2.114511204595236,12.161290322580646,155,0.3,0.0,0.709666820762555,2.114511204595236,2.2996401656717143,5.371685354944832,0.3,5
1538,111152,0,0.31,1.735916399933397,11.455696202531646,79,0.2,0.0,0.7911746047651192,1.735916399933397,2.254276390688734,4.290840427026207,0.2,5
1539,111163,0,1.17,1.4496852738201744,8.64,200,1.0,0.0,1.0318989542961858,1.4496852738201744,2.0519711360120363,5.848035476425731,1.0,6
1540,111171,123,6.03,1.8568312540885406,12.5,30,0.3,4.97318983326859,1.4323971968040765,1.8568312540885406,2.320794416806389,3.1072325059538586,0.3,1
1541,111202,1,0.79,2.8272823023645675,15.674796747967479,246,1.0,1.0,0.9539495736842316,2.8272823023645675,2.502653010177166,6.265826556058271,1.0,4
1542,111205,3,1.06,1.3312810339739876,12.20754716981132,106,0.5,1.4422495703074083,1.0117219514927542,1.3312810339739876,2.3025521242064593,4.732623491163368,0.5,5
1543,111210,23,0.41,1.819250019216586,11.0875,160,0.6,2.8438669798515654,0.8366749594697069,1.819250019216586,2.229861440444745,5.428835233189813,0.6,4
1544,111216,255,4.44,1.929994129884122,39.3,10,0.2,6.341325705384997,1.3473381096054657,1.929994129884122,3.3998846558332727,2.154434690031884,0.2,1
1545,111307,0,1.66,0.926525517427686,8.664473684210526,152,1.0,0.0,1.1066788690767722,0.926525517427686,2.0539067822687436,5.336803297443889,1.0,6
1546,111320,43,0.87,1.1737725005677457,7.568720379146919,211,0.9,3.503398060386724,0.972531888820021,1.1737725005677457,1.9633941241482185,5.953341813139051,0.9,0
1547,111323,1,0.57,1.128724693531899,8.906976744186046,43,0.2,1.0,0.8936654564494114,1.128724693531899,2.0728924646194304,3.503398060386724,0.2,5
1548,111334,0,1.79,2.41547016408012,16.855072463768117,138,0.9,0.0,1.1234936087943845,2.41547016408012,2.5639538746925887,5.167649252363622,0.9,4
1549,111350,0,1.02,1.0777123639870365,12.270386266094421,233,1.0,0.0,1.0039683787044291,1.0777123639870365,2.3064962071248596,6.153449493663682,1.0,6
1550,111361,13,0.92,1.9295377626717996,14.008810572687224,227,1.0,2.3513346877207573,0.9834619583314298,1.9295377626717996,2.410647747047471,6.100170200393062,1.0,4
1551,111471,0,0.14,1.6290610718320926,12.321856287425149,668,1.0,0.0,0.6748785222959512,1.6290610718320926,2.3097166926672403,8.741624638856287,1.0,6
1552,111477,0,1.95,4.129442662251195,17.071428571428573,42,0.4,0.0,1.1428965514115608,4.129442662251195,2.5748777933735103,3.4760266448864496,0.4,4
1553,111505,0,0.55,1.260263469257533,8.89344262295082,244,0.8,0.0,0.887304201366326,1.260263469257533,2.0718420146762377,6.248799769526243,0.8,6
1554,111532,3,5.2,1.8242501925427956,12.955555555555556,45,0.5,1.4422495703074083,1.3905950167030172,1.8242501925427956,2.3486520445612507,3.5568933044900626,0.5,1
1555,111576,4,0.82,0.9255860283335544,7.550724637681159,69,0.3,1.5874010519681994,0.9610871496100633,0.9255860283335544,1.9618368035247982,4.101565929702347,0.3,5
1556,111733,156,4.58,1.8134793594555552,12.153846153846153,13,0.2,5.383212612087283,1.355729654258112,1.8134793594555552,2.2991708513391567,2.3513346877207573,0.2,1
1557,111741,48,4.67,1.8178609538236314,14.454545454545455,22,0.4,3.634241185664279,1.3610164554970374,1.8178609538236314,2.4359487470008587,2.802039330655387,0.4,1
1558,112021,24,0.94,1.3624372270613627,11.977477477477477,222,1.0,2.8844991406148166,0.9877011756841471,1.3624372270613627,2.287995262943497,6.055048946511104,1.0,0
1559,112032,7,0.26,1.894923725460226,11.58108108108108,592,1.0,1.912931182772389,0.7638264085340232,1.894923725460226,2.26247106704674,8.396672907616814,1.0,6
1560,112035,0,0.08,1.696734471919809,12.681936041486603,1157,1.0,0.0,0.6034176336545163,1.696734471919809,2.331999857397468,10.498110015079051,1.0,6
1561,112062,2,8.23,1.6790761283217162,14.714285714285714,14,0.3,1.2599210498948732,1.524333404870279,1.6790761283217162,2.4504531003880587,2.4101422641752297,0.3,1
1562,112104,1,1.0,1.9073190705625747,10.368181818181819,220,1.0,1.0,1.0,1.9073190705625747,2.180557457680631,6.036810736797685,1.0,4
1563,112131,12,10.57,1.1577898955659336,8.933333333333334,15,0.4,2.2894284851066637,1.6025625791092497,1.1577898955659336,2.074935079661095,2.46621207433047,0.4,2
1564,112142,64,0.0,1.7234011717530384,12.5,4,0.1,3.9999999999999996,0.0,1.7234011717530384,2.320794416806389,1.5874010519681994,0.1,3
1565,112161,176,24.0,1.9186033991515863,21.0,3,0.2,5.604078661310774,1.888175022589804,1.9186033991515863,2.7589241763811203,1.4422495703074083,0.2,1
1566,112172,84,13.5,0.8015358371101744,6.4,5,0.2,4.379519139887889,1.6829327181692992,0.8015358371101744,1.8566355334451115,1.7099759466766968,0.2,2
1567,112175,13,2.52,1.6845036535144449,13.447916666666666,96,0.9,2.3513346877207573,1.2030401126732269,1.6845036535144449,2.3780355153567676,4.5788569702133275,0.9,0
1568,112200,2,15.55,0.41036830537857566,9.083333333333334,12,0.5,1.2599210498948732,1.7311953570230825,0.41036830537857566,2.086484121303516,2.2894284851066637,0.5,2
1569,112203,0,6.38,1.960836620285535,18.925,40,0.4,0.0,1.4486522181795356,1.960836620285535,2.664885963954148,3.4199518933533937,0.4,1
1570,112305,0,5.88,1.156843908157761,10.08,25,0.2,0.0,1.4251988564663878,1.156843908157761,2.1601645965105813,2.924017738212866,0.2,5
1571,112310,5,1.18,0.8323691140908308,7.382022471910112,89,0.5,1.7099759466766968,1.0336568843451934,0.8323691140908308,1.9471158302042286,4.464745095584537,0.5,5
1572,112316,6,1.53,1.0868207007440984,5.935483870967742,155,1.0,1.8171205928321397,1.088775365880074,1.0868207007440984,1.8105841313351543,5.371685354944832,1.0,0
1573,112321,0,1.06,2.2001697740038626,13.10576923076923,208,1.0,0.0,1.0117219514927542,2.2001697740038626,2.357694365010097,5.9249921368147405,1.0,4
1574,112324,0,1.45,1.1467921237557415,9.737142857142857,175,0.9,0.0,1.077143587792743,1.1467921237557415,2.1353898819147763,5.593444710406984,0.9,6
1575,112327,0,0.26,2.808878110670113,15.55378486055777,502,1.0,0.0,0.7638264085340232,2.808878110670113,2.4961960742248124,7.9475738545619095,1.0,4
1576,112340,1,11.71,0.7546189325327631,6.5,22,0.5,1.0,1.6357290964822717,0.7546189325327631,1.866255578408624,2.802039330655387,0.5,0
1577,112343,113,11.93,1.4283449778367998,12.1875,16,0.6,4.834588127111639,1.6418296286661602,1.4283449778367998,2.301291020628972,2.5198420997897464,0.6,2
1578,112362,261,0.36,1.0572496310539994,4.907692307692308,65,0.2,6.390676528399307,0.8151931096059227,1.0572496310539994,1.6993875888327634,4.020725758589058,0.2,2
1579,112420,27,3.59,2.4803325423381266,17.65714285714286,70,1.0,3.0,1.2912754366466894,2.4803325423381266,2.603994985507468,4.121285299808556,1.0,4
1580,112552,134,10.64,2.978727923127464,24.0,12,0.2,5.117229946912048,1.604679578010916,2.978727923127464,2.8844991406148166,2.2894284851066637,0.2,1
1581,113022,0,0.56,2.0058233636518916,9.379710144927536,345,1.0,0.0,0.8905075489802288,2.0058233636518916,2.1089347321399012,7.013579083499658,1.0,4
1582,113030,14,1.47,0.7736368122470595,11.96951219512195,164,1.0,2.4101422641752297,1.0800987586588895,0.7736368122470595,2.287487961643281,5.473703674798427,1.0,0
1583,113047,2,1.39,1.6965200719924771,10.467836257309942,171,1.0,1.2599210498948732,1.0680779763415207,1.6965200719924771,2.187521382613121,5.550499102911546,1.0,4
1584,113060,10,21.0,0.8152882294434818,10.0,10,0.5,2.154434690031884,1.838416287252544,0.8152882294434818,2.154434690031884,2.154434690031884,0.5,2
1585,113071,0,7.92,1.360959257312912,18.105263157894736,38,0.9,0.0,1.5126729343772676,1.360959257312912,2.62584012572823,3.361975406798963,0.9,0
1586,113077,64,4.62,1.0116525003517907,9.291666666666666,48,0.8,3.9999999999999996,1.358089511285958,1.0116525003517907,2.102315410367716,3.634241185664279,0.8,0
1587,113140,74,2.96,2.0541766901875502,11.49090909090909,55,0.7,4.198336453808407,1.2423911303080353,2.0541766901875502,2.2565837839409304,3.802952460761391,0.7,1
1588,113146,24,7.22,1.5768009956186397,11.567567567567568,37,0.6,2.8844991406148166,1.484934985637761,1.5768009956186397,2.2615907280212717,3.332221851645953,0.6,0
1589,113151,69,0.27,2.6213776318542514,15.75294117647059,425,0.8,4.101565929702347,0.7696136340726079,2.6213776318542514,2.506804989452537,7.518472981024873,0.8,4
1590,113162,1,2.92,1.4313717974829372,11.080459770114942,87,1.0,1.0,1.239015017525602,1.4313717974829372,2.2293893754746565,4.431047621693634,1.0,0
1591,113173,36,3.84,2.3169624546723266,17.4,50,0.7,3.3019272488946263,1.3087787798824746,2.3169624546723266,2.591292368939624,3.6840314986403864,0.7,1
1592,113176,206,2.62,1.6886331719803784,12.466666666666667,30,0.4,5.9059405836244885,1.2124400066509395,1.6886331719803784,2.3187296520003353,3.1072325059538586,0.4,1
1593,113341,1,0.15,1.2138625165283774,10.311278195488722,665,1.0,1.0,0.6842554289186317,1.2138625165283774,2.1765609577973652,8.728518735186041,1.0,6
1594,113347,48,0.83,3.0222188179334855,15.076923076923077,13,0.2,3.634241185664279,0.9634199128627017,3.0222188179334855,2.470420635521858,2.3513346877207573,0.2,1
1595,113363,2,3.15,1.6104962675411518,13.072289156626505,83,1.0,1.2599210498948732,1.2579463251649878,1.6104962675411518,2.3556849930834796,4.362070671454838,1.0,0
1596,113440,68,12.17,1.8989532381998653,10.789473684210526,19,0.6,4.081655101917348,1.6483829571442834,1.8989532381998653,2.209700530950611,2.668401648721945,0.6,1
1597,113470,13,12.07,1.0785226117374047,8.375,16,0.5,2.3513346877207573,1.6456650809248718,1.0785226117374047,2.0307740502228397,2.5198420997897464,0.5,2
1598,113501,0,0.27,2.4957914164421102,15.54875283446712,441,1.0,0.0,0.7696136340726079,2.4957914164421102,2.495926851894756,7.611662611020244,1.0,4
1599,113507,223,0.92,1.0342105557999033,9.285714285714286,14,0.1,6.064126994506963,0.9834619583314298,1.0342105557999033,2.101866389548769,2.4101422641752297,0.1,2
1600,113531,62,0.53,1.4046160819211857,7.441340782122905,179,0.6,3.9578916096804053,0.8807551147710713,1.4046160819211857,1.9523172786731535,5.635740794544236,0.6,0
1601,113542,0,0.48,0.8290990964080528,5.766871165644171,326,1.0,0.0,0.8634719767533109,0.8290990964080528,1.793274404137131,6.882388750477947,1.0,6
1602,113564,21,1.68,1.347474709213203,6.507462686567164,134,1.0,2.7589241763811203,1.1093328057258516,1.347474709213203,1.8669695247592195,5.117229946912048,1.0,0
1603,113567,25,1.69,0.46972602058447205,4.1603053435114505,131,1.0,2.924017738212866,1.110650306834322,0.46972602058447205,1.6083296519127126,5.0787530781327,1.0,0
