timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
73200270285,21713,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200301644,21714,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200335413,21715,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200389280,21716,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200426819,21717,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200431529,21718,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200455499,21719,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200490346,21720,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200524181,21721,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200547935,21722,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200605354,21723,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200619068,21724,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200646676,21725,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200680470,21726,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200706559,21727,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200782944,21728,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200801676,21729,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200805304,21730,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200832857,21731,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200866740,21732,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200894291,21733,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200926710,21734,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200956686,21735,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200991591,21736,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201021561,21737,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201054183,21738,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201084223,21739,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201160517,21740,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201180370,21741,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201190521,21742,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201242921,21743,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201251662,21744,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201281673,21745,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201311543,21746,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201336710,21747,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201370455,21748,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201391540,21749,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201425356,21750,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201460600,21751,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201514289,21752,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201540308,21753,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201555430,21754,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201590382,21755,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201615484,21756,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201651746,21757,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201679188,21758,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201706387,21759,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201744297,21760,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201766735,21761,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201797837,21762,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201827795,21763,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201906661,21764,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201915420,21765,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201930549,21766,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201966809,21767,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73201985568,21768,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202017876,21769,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202049191,21770,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202080371,21771,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202120506,21772,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202141595,21773,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73202173941,21774,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
